TAS, Life tables (period 5x5), Females	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01441  0.01423  0.12  100000    1423   98747  7493192  74.93
1971-1974      1-4      0.00080  0.00319  1.72   98577     315  393588  7394446  75.01
1971-1974      5-9      0.00069  0.00345  2.12   98262     339  490333  7000857  71.25
1971-1974     10-14     0.00040  0.00200  2.80   97923     195  489183  6510524  66.49
1971-1974     15-19     0.00069  0.00346  2.23   97727     338  487698  6021341  61.61
1971-1974     20-24     0.00068  0.00342  2.59   97389     333  486142  5533642  56.82
1971-1974     25-29     0.00082  0.00408  2.69   97056     396  484366  5047500  52.01
1971-1974     30-34     0.00080  0.00398  2.85   96660     385  482474  4563134  47.21
1971-1974     35-39     0.00148  0.00735  2.68   96275     708  479734  4080660  42.39
1971-1974     40-44     0.00178  0.00885  3.14   95567     846  476264  3600926  37.68
1971-1974     45-49     0.00336  0.01667  2.80   94721    1579  470133  3124662  32.99
1971-1974     50-54     0.00487  0.02408  2.66   93142    2243  460463  2654529  28.50
1971-1974     55-59     0.00808  0.03963  2.63   90900    3603  445958  2194067  24.14
1971-1974     60-64     0.01256  0.06099  2.61   87297    5324  423740  1748108  20.02
1971-1974     65-69     0.01931  0.09230  2.63   81973    7566  391905  1324368  16.16
1971-1974     70-74     0.03685  0.16935  2.61   74407   12601  341965   932463  12.53
1971-1974     75-79     0.05971  0.26144  2.62   61806   16158  270606   590498   9.55
1971-1974     80-84     0.09700  0.39029  2.50   45648   17816  183667   319892   7.01
1971-1974     85-89     0.17043  0.58505  2.32   27832   16283   95539   136225   4.89
1971-1974     90-94     0.25885  0.74417  2.14   11549    8594   33202    40686   3.52
1971-1974     95-99     0.38051  0.86952  1.88    2955    2569    6752     7484   2.53
1971-1974    100-104    0.51928  0.93994  1.61     386     362     698      733   1.90
1971-1974    105-109    0.65635  0.97208  1.38      23      23      34       35   1.52
1971-1974    110+       0.75867  1.00000  1.32       1       1       1        1   1.32
1975-1979        0      0.01341  0.01325  0.12  100000    1325   98836  7615379  76.15
1975-1979      1-4      0.00074  0.00296  1.84   98675     292  394067  7516544  76.17
