TAS, Life tables (period 5x1), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.01062  0.01053  0.13  100000    1053   99081  7497639  74.98
  1971         1-4      0.00039  0.00157  2.69   98947     155  395586  7398558  74.77
  1971         5-9      0.00066  0.00332  2.05   98792     328  492994  7002971  70.89
  1971        10-14     0.00039  0.00195  2.44   98464     192  491832  6509978  66.12
  1971        15-19     0.00077  0.00384  2.34   98273     378  490360  6018146  61.24
  1971        20-24     0.00082  0.00409  2.50   97895     400  488476  5527786  56.47
  1971        25-29     0.00085  0.00426  3.30   97495     415  486770  5039310  51.69
  1971        30-34     0.00070  0.00347  2.89   97079     337  484686  4552541  46.90
  1971        35-39     0.00131  0.00653  2.50   96742     631  482134  4067854  42.05
  1971        40-44     0.00108  0.00539  3.24   96111     518  479642  3585720  37.31
  1971        45-49     0.00343  0.01699  2.73   95592    1625  474279  3106078  32.49
  1971        50-54     0.00560  0.02761  2.48   93968    2594  463291  2631800  28.01
  1971        55-59     0.00751  0.03695  2.74   91374    3376  449234  2168509  23.73
  1971        60-64     0.01300  0.06287  2.43   87998    5533  425758  1719275  19.54
  1971        65-69     0.02088  0.09961  2.70   82465    8215  393445  1293517  15.69
  1971        70-74     0.03714  0.17030  2.56   74250   12645  340458   900072  12.12
  1971        75-79     0.06509  0.28217  2.64   61606   17383  267077   559614   9.08
  1971        80-84     0.11349  0.44002  2.45   44222   19459  171461   292537   6.62
  1971        85-89     0.17309  0.59076  2.31   24764   14629   84519   121076   4.89
  1971        90-94     0.25414  0.73501  2.13   10134    7449   29310    36557   3.61
  1971        95-99     0.35598  0.84804  1.91    2685    2277    6397     7247   2.70
  1971       100-104    0.47255  0.92025  1.68     408     376     795      849   2.08
  1971       105-109    0.59275  0.95916  1.47      33      31      53       55   1.68
  1971       110+       0.68751  1.00000  1.45       1       1       2        2   1.45
  1972           0      0.01256  0.01243  0.12  100000    1243   98910  7523238  75.23
  1972         1-4      0.00127  0.00505  1.86   98757     499  393960  7424328  75.18
  1972         5-9      0.00084  0.00418  2.39   98258     411  490218  7030368  71.55
  1972        10-14     0.00044  0.00219  2.63   97847     215  488728  6540150  66.84
  1972        15-19     0.00047  0.00235  1.51   97633     230  487361  6051422  61.98
  1972        20-24     0.00044  0.00222  3.21   97403     216  486628  5564061  57.12
  1972        25-29     0.00072  0.00357  2.59   97187     347  485098  5077433  52.24
  1972        30-34     0.00051  0.00254  2.72   96840     246  483636  4592335  47.42
  1972        35-39     0.00132  0.00657  3.05   96593     634  481731  4108699  42.54
  1972        40-44     0.00250  0.01244  3.22   95959    1194  477672  3626969  37.80
  1972        45-49     0.00321  0.01594  2.73   94765    1511  470392  3149297  33.23
  1972        50-54     0.00456  0.02257  2.57   93254    2105  461152  2678905  28.73
  1972        55-59     0.00838  0.04106  2.59   91149    3742  446718  2217753  24.33
  1972        60-64     0.01205  0.05867  2.76   87407    5128  425565  1771036  20.26
