TAS, Life tables (period 1x10), Males	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01804  0.01776  0.11  100000    1776   98425  6882326  68.82
1971-1979        1      0.00099  0.00099  0.50   98224      97   98176  6783900  69.07
1971-1979        2      0.00102  0.00102  0.50   98127     100   98077  6685725  68.13
1971-1979        3      0.00094  0.00094  0.50   98027      92   97980  6587648  67.20
1971-1979        4      0.00068  0.00068  0.50   97934      66   97901  6489667  66.27
1971-1979        5      0.00061  0.00061  0.50   97868      60   97838  6391766  65.31
1971-1979        6      0.00056  0.00056  0.50   97808      54   97781  6293928  64.35
1971-1979        7      0.00047  0.00047  0.50   97754      46   97731  6196147  63.39
1971-1979        8      0.00060  0.00060  0.50   97708      59   97679  6098416  62.41
1971-1979        9      0.00057  0.00057  0.50   97649      56   97621  6000737  61.45
1971-1979       10      0.00032  0.00032  0.50   97593      32   97577  5903116  60.49
1971-1979       11      0.00062  0.00062  0.50   97562      60   97531  5805539  59.51
1971-1979       12      0.00064  0.00064  0.50   97501      62   97470  5708008  58.54
1971-1979       13      0.00042  0.00042  0.50   97439      41   97418  5610538  57.58
1971-1979       14      0.00069  0.00069  0.50   97397      67   97364  5513119  56.60
1971-1979       15      0.00082  0.00082  0.50   97331      80   97291  5415755  55.64
1971-1979       16      0.00166  0.00165  0.50   97250     161   97170  5318465  54.69
1971-1979       17      0.00278  0.00278  0.50   97090     270   96955  5221295  53.78
1971-1979       18      0.00290  0.00290  0.50   96820     281   96680  5124340  52.93
1971-1979       19      0.00228  0.00228  0.50   96539     220   96429  5027660  52.08
1971-1979       20      0.00279  0.00279  0.50   96319     269   96185  4931231  51.20
1971-1979       21      0.00231  0.00231  0.50   96051     222   95940  4835046  50.34
1971-1979       22      0.00222  0.00222  0.50   95829     213   95722  4739106  49.45
1971-1979       23      0.00152  0.00152  0.50   95616     145   95543  4643384  48.56
1971-1979       24      0.00157  0.00157  0.50   95470     150   95395  4547841  47.64
1971-1979       25      0.00160  0.00160  0.50   95321     153   95244  4452445  46.71
1971-1979       26      0.00145  0.00145  0.50   95168     138   95099  4357201  45.78
1971-1979       27      0.00131  0.00131  0.50   95030     124   94968  4262102  44.85
1971-1979       28      0.00123  0.00123  0.50   94906     116   94847  4167134  43.91
1971-1979       29      0.00140  0.00140  0.50   94789     133   94723  4072287  42.96
1971-1979       30      0.00111  0.00111  0.50   94656     105   94604  3977564  42.02
1971-1979       31      0.00168  0.00168  0.50   94551     158   94472  3882961  41.07
1971-1979       32      0.00165  0.00165  0.50   94393     156   94315  3788489  40.14
1971-1979       33      0.00169  0.00169  0.50   94237     159   94157  3694174  39.20
1971-1979       34      0.00090  0.00090  0.50   94078      85   94036  3600017  38.27
1971-1979       35      0.00176  0.00176  0.50   93993     166   93910  3505981  37.30
1971-1979       36      0.00159  0.00159  0.50   93828     149   93753  3412071  36.37
1971-1979       37      0.00229  0.00229  0.50   93678     215   93571  3318318  35.42
1971-1979       38      0.00233  0.00233  0.50   93464     218   93355  3224747  34.50
1971-1979       39      0.00247  0.00247  0.50   93246     230   93131  3131392  33.58
1971-1979       40      0.00208  0.00208  0.50   93015     193   92919  3038262  32.66
1971-1979       41      0.00318  0.00318  0.50   92822     295   92675  2945343  31.73
1971-1979       42      0.00321  0.00321  0.50   92527     297   92379  2852668  30.83
1971-1979       43      0.00338  0.00337  0.50   92231     311   92075  2760289  29.93
1971-1979       44      0.00423  0.00422  0.50   91919     388   91725  2668214  29.03
1971-1979       45      0.00520  0.00519  0.50   91532     475   91294  2576488  28.15
1971-1979       46      0.00545  0.00543  0.50   91056     495   90809  2485194  27.29
1971-1979       47      0.00590  0.00588  0.50   90562     533   90295  2394385  26.44
1971-1979       48      0.00587  0.00585  0.50   90029     527   89766  2304090  25.59
1971-1979       49      0.00712  0.00710  0.50   89502     635   89185  2214324  24.74
1971-1979       50      0.00649  0.00647  0.50   88867     575   88579  2125140  23.91
1971-1979       51      0.00904  0.00900  0.50   88292     795   87894  2036560  23.07
1971-1979       52      0.00983  0.00979  0.50   87497     856   87069  1948666  22.27
1971-1979       53      0.00943  0.00939  0.50   86641     814   86234  1861597  21.49
1971-1979       54      0.01209  0.01201  0.50   85827    1031   85312  1775363  20.69
1971-1979       55      0.01364  0.01354  0.50   84796    1148   84222  1690052  19.93
1971-1979       56      0.01212  0.01205  0.50   83648    1008   83144  1605830  19.20
1971-1979       57      0.01454  0.01443  0.50   82640    1193   82044  1522686  18.43
1971-1979       58      0.01664  0.01650  0.50   81447    1344   80775  1440643  17.69
1971-1979       59      0.02015  0.01995  0.50   80103    1598   79304  1359867  16.98
1971-1979       60      0.02000  0.01980  0.50   78505    1555   77728  1280563  16.31
1971-1979       61      0.02094  0.02073  0.50   76950    1595   76153  1202835  15.63
1971-1979       62      0.02256  0.02230  0.50   75356    1681   74515  1126682  14.95
1971-1979       63      0.02569  0.02537  0.50   73675    1869   72740  1052167  14.28
1971-1979       64      0.02826  0.02787  0.50   71806    2001   70805   979427  13.64
1971-1979       65      0.03252  0.03200  0.50   69805    2234   68688   908621  13.02
1971-1979       66      0.03340  0.03285  0.50   67571    2220   66462   839933  12.43
