QLD, Exposure to risk (period 5x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0            160780.21       168572.19       329352.39
1971-1979      1-4            673983.53       701640.00      1375623.53
1971-1979      5-9            862488.22       903422.98      1765911.19
1971-1979     10-14           859107.43       900851.07      1759958.50
1971-1979     15-19           834759.37       865137.67      1699897.04
1971-1979     20-24           760751.98       797400.25      1558152.23
1971-1979     25-29           714830.17       751480.73      1466310.90
1971-1979     30-34           619082.51       651746.69      1270829.20
1971-1979     35-39           524275.20       551620.86      1075896.06
1971-1979     40-44           479967.38       507082.51       987049.90
1971-1979     45-49           481731.10       508284.87       990015.97
1971-1979     50-54           474915.90       492135.13       967051.02
1971-1979     55-59           439574.99       432775.94       872350.93
1971-1979     60-64           394558.62       373477.96       768036.58
1971-1979     65-69           323114.80       300622.76       623737.56
1971-1979     70-74           249318.41       210722.56       460040.97
1971-1979     75-79           182062.82       127944.79       310007.61
1971-1979     80-84           115674.24        67991.10       183665.34
1971-1979     85-89            54290.03        28680.94        82970.97
1971-1979     90-94            16999.85         7411.81        24411.66
1971-1979     95-99             3053.62          979.54         4033.16
1971-1979    100-104             256.94           53.34          310.28
1971-1979    105-109               0.92            0.00            0.92
1971-1979    110+                  0.00            0.00            0.00
1980-1989        0            194730.11       206532.57       401262.68
1980-1989      1-4            781023.56       826708.53      1607732.08
1980-1989      5-9           1009141.23      1066541.49      2075682.72
1980-1989     10-14          1091923.28      1144787.55      2236710.83
1980-1989     15-19          1101426.27      1140693.09      2242119.36
1980-1989     20-24          1071320.52      1114514.56      2185835.08
1980-1989     25-29          1047357.60      1082495.59      2129853.19
1980-1989     30-34          1001053.78      1024292.95      2025346.72
1980-1989     35-39           940822.94       969672.15      1910495.09
1980-1989     40-44           793022.66       837170.72      1630193.39
1980-1989     45-49           636986.35       681228.47      1318214.82
1980-1989     50-54           576484.29       606041.44      1182525.73
1980-1989     55-59           566769.83       582067.28      1148837.12
1980-1989     60-64           550696.19       535365.65      1086061.84
1980-1989     65-69           484086.76       441590.68       925677.44
1980-1989     70-74           393339.99       327593.16       720933.15
1980-1989     75-79           280767.84       208477.21       489245.04
1980-1989     80-84           176555.80       104769.54       281325.34
1980-1989     85-89            90537.65        41386.79       131924.44
1980-1989     90-94            33360.78        11898.58        45259.36
1980-1989     95-99             7290.76         2177.53         9468.29
1980-1989    100-104             806.62          151.91          958.53
1980-1989    105-109              20.91            0.05           20.95
1980-1989    110+                  0.00            0.00            0.00
1990-1999        0            226996.46       239374.74       466371.20
1990-1999      1-4            913399.85       963230.02      1876629.87
1990-1999      5-9           1158857.52      1224460.09      2383317.61
1990-1999     10-14          1161605.60      1233094.34      2394699.94
1990-1999     15-19          1186291.42      1240203.07      2426494.48
1990-1999     20-24          1247489.39      1277416.39      2524905.78
1990-1999     25-29          1245730.08      1255731.36      2501461.44
1990-1999     30-34          1260388.22      1248323.05      2508711.27
1990-1999     35-39          1254986.06      1244327.55      2499313.61
1990-1999     40-44          1189414.06      1201028.13      2390442.19
1990-1999     45-49          1074497.28      1113834.26      2188331.53
1990-1999     50-54           875042.00       926191.26      1801233.26
1990-1999     55-59           692204.64       729610.01      1421814.64
1990-1999     60-64           613459.41       627281.19      1240740.60
1990-1999     65-69           579167.04       562632.88      1141799.92
1990-1999     70-74           514666.33       454623.51       969289.85
1990-1999     75-79           401805.47       307279.64       709085.11
1990-1999     80-84           275991.50       168738.51       444730.01
1990-1999     85-89           144138.42        70722.07       214860.49
1990-1999     90-94            53479.01        19634.76        73113.76
1990-1999     95-99            12662.60         3058.10        15720.69
1990-1999    100-104            1608.30          236.13         1844.43
1990-1999    105-109              73.96            0.24           74.20
1990-1999    110+                  0.00            0.00            0.00
2000-2009        0            260854.63       276680.65       537535.27
