ACT, Death rates (period 1x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             0.012061        0.016883        0.014535
1971-1979        1             0.001184        0.001324        0.001256
1971-1979        2             0.001111        0.000552        0.000825
1971-1979        3             0.000578        0.000651        0.000615
1971-1979        4             0.000263        0.000701        0.000487
1971-1979        5             0.000265        0.000452        0.000361
1971-1979        6             0.000537        0.000407        0.000470
1971-1979        7             0.000164        0.000778        0.000479
1971-1979        8             0.000448        0.000478        0.000463
1971-1979        9             0.000346        0.000273        0.000309
1971-1979       10             0.000235        0.000449        0.000345
1971-1979       11             0.000899        0.000746        0.000821
1971-1979       12             0.000304        0.000764        0.000538
1971-1979       13             0.000684        0.000476        0.000578
1971-1979       14             0.000190        0.001209        0.000712
1971-1979       15             0.000641        0.000610        0.000626
1971-1979       16             0.000706        0.001787        0.001257
1971-1979       17             0.001088        0.001108        0.001098
1971-1979       18             0.000439        0.002465        0.001461
1971-1979       19             0.000914        0.001884        0.001399
1971-1979       20             0.001005        0.001809        0.001403
1971-1979       21             0.000809        0.001801        0.001295
1971-1979       22             0.001249        0.001657        0.001448
1971-1979       23             0.000668        0.001739        0.001193
1971-1979       24             0.000437        0.001304        0.000863
1971-1979       25             0.000425        0.001042        0.000729
1971-1979       26             0.001056        0.000910        0.000983
1971-1979       27             0.000742        0.001271        0.001007
1971-1979       28             0.000594        0.000996        0.000798
1971-1979       29             0.000948        0.000903        0.000925
1971-1979       30             0.001281        0.001358        0.001321
1971-1979       31             0.000792        0.001422        0.001118
1971-1979       32             0.000581        0.001373        0.000993
1971-1979       33             0.000754        0.000256        0.000497
1971-1979       34             0.001384        0.001854        0.001626
1971-1979       35             0.001219        0.001596        0.001412
1971-1979       36             0.000479        0.001748        0.001129
1971-1979       37             0.001257        0.001505        0.001384
1971-1979       38             0.002101        0.001987        0.002042
1971-1979       39             0.001926        0.001642        0.001780
1971-1979       40             0.001350        0.001976        0.001674
1971-1979       41             0.002312        0.001750        0.002019
1971-1979       42             0.001476        0.002959        0.002254
1971-1979       43             0.001871        0.003342        0.002648
1971-1979       44             0.002714        0.002408        0.002552
1971-1979       45             0.002282        0.003189        0.002759
1971-1979       46             0.002403        0.003345        0.002895
1971-1979       47             0.002083        0.005076        0.003646
1971-1979       48             0.002102        0.004399        0.003299
1971-1979       49             0.002374        0.005557        0.004033
1971-1979       50             0.003420        0.005277        0.004387
1971-1979       51             0.003539        0.006015        0.004831
1971-1979       52             0.003875        0.006553        0.005278
1971-1979       53             0.002261        0.006716        0.004588
1971-1979       54             0.004258        0.009297        0.006892
1971-1979       55             0.004093        0.010836        0.007605
1971-1979       56             0.006517        0.011499        0.009095
1971-1979       57             0.004426        0.012437        0.008562
1971-1979       58             0.006244        0.011427        0.008906
1971-1979       59             0.006579        0.015422        0.011096
1971-1979       60             0.011107        0.016487        0.013821
1971-1979       61             0.008135        0.019771        0.013937
1971-1979       62             0.010952        0.016489        0.013703
1971-1979       63             0.011412        0.025743        0.018461
1971-1979       64             0.013919        0.029766        0.021667
1971-1979       65             0.012274        0.029315        0.020497
1971-1979       66             0.010609        0.032413        0.021008
1971-1979       67             0.015333        0.033374        0.023910
1971-1979       68             0.014264        0.030559        0.021869
1971-1979       69             0.022510        0.036057        0.028734
1971-1979       70             0.025899        0.043836        0.033955
1971-1979       71             0.029407        0.034538        0.031667
1971-1979       72             0.024902        0.058307        0.039135
1971-1979       73             0.035355        0.062068        0.046577
1971-1979       74             0.049115        0.060422        0.053718
1971-1979       75             0.043201        0.085821        0.060004
1971-1979       76             0.044199        0.069130        0.053594
1971-1979       77             0.055256        0.068607        0.059988
1971-1979       78             0.048570        0.118182        0.071837
1971-1979       79             0.055207        0.094731        0.067809
1971-1979       80             0.053692        0.081629        0.062810
1971-1979       81             0.055295        0.077102        0.062302
1971-1979       82             0.070710        0.087511        0.076030
1971-1979       83             0.076020        0.113277        0.087602
1971-1979       84             0.093701        0.105317        0.097276
1971-1979       85             0.096605        0.113193        0.101753
1971-1979       86             0.089552        0.128613        0.101837
1971-1979       87             0.158288        0.111021        0.142906
1971-1979       88             0.108263        0.128143        0.115031
1971-1979       89             0.136541        0.089602        0.120173
1971-1979       90             0.108027        0.133282        0.116884
1971-1979       91             0.188345        0.176151        0.184097
1971-1979       92             0.170695        0.275704        0.205478
1971-1979       93             0.174062        0.163014        0.170593
1971-1979       94             0.195718        0.358537        0.246607
1971-1979       95             0.196632        0.343140        0.238246
1971-1979       96             0.207433        0.579151        0.290221
1971-1979       97             0.294956        0.135563        0.266473
1971-1979       98             0.383264        0.584416        0.422968
1971-1979       99             0.241741        1.226158        0.403859
1971-1979      100             0.900441        1.685393        0.963464
1971-1979      101             1.076064              .        1.076064
1971-1979      102             2.628763              .        2.628763
1971-1979      103                   .              .              .
1971-1979      104                   .              .              .
1971-1979      105                   .              .              .
1971-1979      106                   .              .              .
1971-1979      107                   .              .              .
1971-1979      108                   .              .              .
1971-1979      109                   .              .              .
1971-1979      110+                  .              .              .
1980-1989        0             0.007668        0.009632        0.008667
1980-1989        1             0.001019        0.001276        0.001149
1980-1989        2             0.000383        0.000700        0.000544
1980-1989        3             0.000380        0.000507        0.000445
1980-1989        4             0.000569        0.000545        0.000557
1980-1989        5             0.000282        0.000538        0.000413
1980-1989        6             0.000648        0.000134        0.000385
1980-1989        7             0.000137        0.000751        0.000449
1980-1989        8             0.000494        0.000395        0.000444
1980-1989        9             0.000617        0.000345        0.000479
1980-1989       10             0.000132        0.000296        0.000215
1980-1989       11             0.000349        0.000462        0.000406
1980-1989       12             0.000349        0.000628        0.000491
1980-1989       13             0.000176        0.000506        0.000345
1980-1989       14             0.000311        0.000341        0.000327
1980-1989       15             0.000360        0.000559        0.000462
1980-1989       16             0.001033        0.000824        0.000927
1980-1989       17             0.001199        0.001483        0.001342
1980-1989       18             0.000605        0.001331        0.000968
1980-1989       19             0.000817        0.001196        0.001007
1980-1989       20             0.000827        0.001516        0.001173
1980-1989       21             0.000745        0.002017        0.001382
1980-1989       22             0.000966        0.001596        0.001279
1980-1989       23             0.000572        0.001118        0.000843
1980-1989       24             0.000221        0.000897        0.000557
1980-1989       25             0.000488        0.001382        0.000934
1980-1989       26             0.000660        0.001023        0.000841
1980-1989       27             0.000392        0.001377        0.000879
1980-1989       28             0.000944        0.001418        0.001177
1980-1989       29             0.000511        0.001189        0.000844
1980-1989       30             0.000762        0.000614        0.000689
1980-1989       31             0.001093        0.000782        0.000940
1980-1989       32             0.000335        0.000860        0.000594
1980-1989       33             0.000708        0.000768        0.000738
1980-1989       34             0.000417        0.001645        0.001027
1980-1989       35             0.001175        0.000976        0.001076
1980-1989       36             0.000813        0.001114        0.000963
1980-1989       37             0.001406        0.001312        0.001359
1980-1989       38             0.000773        0.001346        0.001061
1980-1989       39             0.000710        0.001633        0.001175
1980-1989       40             0.001536        0.001326        0.001431
1980-1989       41             0.001154        0.001084        0.001119
1980-1989       42             0.001448        0.001532        0.001490
1980-1989       43             0.000839        0.001633        0.001241
1980-1989       44             0.001746        0.001877        0.001812
1980-1989       45             0.001516        0.002721        0.002130
1980-1989       46             0.002429        0.002947        0.002694
1980-1989       47             0.001484        0.001991        0.001745
1980-1989       48             0.001826        0.002789        0.002325
1980-1989       49             0.002358        0.002520        0.002442
1980-1989       50             0.002485        0.003826        0.003183
1980-1989       51             0.001536        0.004109        0.002870
1980-1989       52             0.002893        0.005680        0.004334
1980-1989       53             0.003314        0.006865        0.005151
1980-1989       54             0.003226        0.006003        0.004665
1980-1989       55             0.003420        0.005554        0.004524
1980-1989       56             0.003382        0.008298        0.005927
1980-1989       57             0.006020        0.008125        0.007107
1980-1989       58             0.004840        0.011168        0.008076
1980-1989       59             0.005683        0.010079        0.007915
1980-1989       60             0.006459        0.013742        0.010123
1980-1989       61             0.006342        0.014650        0.010459
1980-1989       62             0.006823        0.016174        0.011386
1980-1989       63             0.006627        0.016758        0.011527
1980-1989       64             0.010484        0.018851        0.014491
1980-1989       65             0.011037        0.022942        0.016670
1980-1989       66             0.011881        0.023745        0.017431
1980-1989       67             0.012991        0.026870        0.019401
1980-1989       68             0.017752        0.029108        0.022930
1980-1989       69             0.018159        0.031568        0.024176
1980-1989       70             0.018789        0.032610        0.024883
1980-1989       71             0.024569        0.035067        0.029111
1980-1989       72             0.025400        0.050455        0.036078
1980-1989       73             0.024185        0.045001        0.032916
1980-1989       74             0.030990        0.053482        0.040201
1980-1989       75             0.035239        0.058829        0.044793
1980-1989       76             0.042795        0.064101        0.051285
1980-1989       77             0.035222        0.073652        0.050013
