ACT, Life tables (period 5x5), Total	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01636  0.01612  0.11  100000    1612   98573  7331401  73.31
1971-1974      1-4      0.00088  0.00353  1.54   98388     347  392696  7232828  73.51
1971-1974      5-9      0.00052  0.00257  2.08   98040     252  489465  6840133  69.77
1971-1974     10-14     0.00073  0.00363  2.38   97788     355  488010  6350667  64.94
1971-1974     15-19     0.00139  0.00693  2.69   97433     675  485606  5862657  60.17
1971-1974     20-24     0.00119  0.00594  2.24   96758     575  482204  5377051  55.57
1971-1974     25-29     0.00087  0.00434  2.74   96183     417  479975  4894847  50.89
1971-1974     30-34     0.00114  0.00568  2.41   95766     544  477422  4414872  46.10
1971-1974     35-39     0.00163  0.00813  2.69   95222     774  474318  3937450  41.35
1971-1974     40-44     0.00265  0.01315  2.67   94447    1242  469349  3463132  36.67
1971-1974     45-49     0.00368  0.01821  2.48   93206    1697  461751  2993783  32.12
1971-1974     50-54     0.00527  0.02601  2.71   91509    2381  452101  2532032  27.67
1971-1974     55-59     0.00970  0.04748  2.75   89128    4232  436131  2079931  23.34
1971-1974     60-64     0.01709  0.08212  2.64   84896    6972  408019  1643800  19.36
1971-1974     65-69     0.02347  0.11061  2.41   77924    8619  367290  1235781  15.86
1971-1974     70-74     0.04801  0.21686  2.77   69305   15029  313030   868491  12.53
1971-1974     75-79     0.06969  0.29943  2.65   54276   16252  233191   555461  10.23
1971-1974     80-84     0.07491  0.31656  2.55   38024   12037  160683   322270   8.48
1971-1974     85-89     0.12350  0.46946  2.45   25987   12200   98781   161587   6.22
1971-1974     90-94     0.19229  0.63047  2.27   13787    8693   45205    62805   4.56
1971-1974     95-99     0.27129  0.75592  2.07    5095    3851   14196    17601   3.45
1971-1974    100-104    0.35270  0.84202  1.90    1244    1047    2969     3404   2.74
1971-1974    105-109    0.44436  0.90501  1.73     196     178     400      435   2.22
1971-1974    110+       0.52722  1.00000  1.90      19      19      35       35   1.90
1975-1979        0      0.01313  0.01298  0.12  100000    1298   98861  7506570  75.07
1975-1979      1-4      0.00073  0.00291  1.66   98702     287  394137  7407709  75.05
1975-1979      5-9      0.00036  0.00179  2.77   98415     176  491682  7013572  71.27
1975-1979     10-14     0.00051  0.00253  2.94   98239     248  490682  6521890  66.39
1975-1979     15-19     0.00103  0.00513  2.89   97991     503  488891  6031208  61.55
1975-1979     20-24     0.00128  0.00637  2.35   97488     621  485797  5542316  56.85
1975-1979     25-29     0.00091  0.00454  2.44   96867     440  483210  5056519  52.20
1975-1979     30-34     0.00109  0.00546  2.54   96427     526  480843  4573310  47.43
1975-1979     35-39     0.00150  0.00747  2.72   95901     717  477875  4092467  42.67
1975-1979     40-44     0.00195  0.00970  2.73   95184     924  473831  3614591  37.97
1975-1979     45-49     0.00307  0.01525  2.84   94261    1437  468196  3140761  33.32
1975-1979     50-54     0.00515  0.02545  2.65   92824    2362  458569  2672565  28.79
1975-1979     55-59     0.00864  0.04231  2.55   90462    3827  442941  2213996  24.47
1975-1979     60-64     0.01576  0.07611  2.76   86635    6594  418429  1771055  20.44
1975-1979     65-69     0.02295  0.10902  2.71   80041    8726  380209  1352626  16.90
1975-1979     70-74     0.03632  0.16709  2.61   71315   11916  328096   972417  13.64
1975-1979     75-79     0.05806  0.25186  2.37   59399   14960  257656   644321  10.85
1975-1979     80-84     0.07286  0.30901  2.54   44439   13732  188470   386664   8.70
1975-1979     85-89     0.11606  0.44781  2.45   30707   13751  118484   198194   6.45
1975-1979     90-94     0.18075  0.60784  2.31   16956   10306   57022    79710   4.70
1975-1979     95-99     0.27063  0.75872  2.11    6650    5045   18642    22688   3.41
1975-1979    100-104    0.38342  0.87018  1.86    1604    1396    3641     4046   2.52
1975-1979    105-109    0.50858  0.93505  1.62     208     195     383      405   1.95
1975-1979    110+       0.60976  1.00000  1.64      14      14      22       22   1.64
1980-1984        0      0.00945  0.00937  0.13  100000     937   99185  7611167  76.11
