ACT, Life tables (period 5x10), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01206  0.01193  0.12  100000    1193   98955  7752383  77.52
1971-1979      1-4      0.00078  0.00313  1.47   98807     309  394445  7653428  77.46
1971-1979      5-9      0.00035  0.00176  2.54   98497     173  492060  7258984  73.70
1971-1979     10-14     0.00046  0.00231  2.37   98324     227  491022  6766924  68.82
1971-1979     15-19     0.00076  0.00378  2.57   98097     371  489583  6275902  63.98
1971-1979     20-24     0.00083  0.00416  2.19   97726     407  487488  5786319  59.21
1971-1979     25-29     0.00075  0.00376  2.65   97319     366  485739  5298830  54.45
1971-1979     30-34     0.00096  0.00478  2.53   96954     464  483625  4813092  49.64
1971-1979     35-39     0.00140  0.00696  2.93   96490     671  481062  4329467  44.87
1971-1979     40-44     0.00194  0.00968  2.73   95819     927  476990  3848405  40.16
1971-1979     45-49     0.00225  0.01118  2.49   94892    1061  471790  3371415  35.53
1971-1979     50-54     0.00347  0.01720  2.52   93831    1614  465143  2899625  30.90
1971-1979     55-59     0.00557  0.02747  2.66   92216    2534  455148  2434482  26.40
1971-1979     60-64     0.01109  0.05401  2.64   89683    4844  436970  1979335  22.07
1971-1979     65-69     0.01493  0.07225  2.79   84839    6129  410657  1542365  18.18
1971-1979     70-74     0.03260  0.15185  2.75   78709   11952  366666  1131708  14.38
1971-1979     75-79     0.04901  0.21846  2.52   66757   14584  297586   765042  11.46
1971-1979     80-84     0.06789  0.29136  2.57   52174   15201  223926   467455   8.96
1971-1979     85-89     0.11160  0.43513  2.47   36973   16088  144164   243529   6.59
1971-1979     90-94     0.17727  0.60087  2.32   20885   12549   70789    99365   4.76
1971-1979     95-99     0.26868  0.75651  2.11    8336    6306   23470    28576   3.43
1971-1979    100-104    0.38419  0.87119  1.86    2030    1768    4602     5105   2.52
1971-1979    105-109    0.51442  0.93765  1.61     261     245     477      503   1.92
1971-1979    110+       0.62219  1.00000  1.61      16      16      26       26   1.61
1980-1989        0      0.00767  0.00762  0.13  100000     762   99340  7940227  79.40
1980-1989      1-4      0.00059  0.00235  1.71   99238     233  396420  7840887  79.01
1980-1989      5-9      0.00044  0.00218  2.74   99005     215  494538  7444467  75.19
1980-1989     10-14     0.00026  0.00132  2.64   98790     130  493642  6949929  70.35
1980-1989     15-19     0.00080  0.00401  2.62   98660     395  492358  6456288  65.44
1980-1989     20-24     0.00067  0.00333  2.08   98264     327  490369  5963930  60.69
1980-1989     25-29     0.00060  0.00299  2.61   97938     293  488988  5473561  55.89
1980-1989     30-34     0.00066  0.00331  2.17   97645     323  487311  4984574  51.05
1980-1989     35-39     0.00098  0.00486  2.30   97322     473  485329  4497263  46.21
1980-1989     40-44     0.00134  0.00670  2.51   96848     649  482627  4011934  41.43
1980-1989     45-49     0.00192  0.00957  2.61   96199     920  478795  3529307  36.69
1980-1989     50-54     0.00269  0.01336  2.74   95279    1273  473513  3050512  32.02
1980-1989     55-59     0.00466  0.02307  2.75   94005    2169  465141  2576999  27.41
1980-1989     60-64     0.00734  0.03607  2.71   91836    3313  451602  2111858  23.00
1980-1989     65-69     0.01431  0.06930  2.75   88524    6135  428827  1660256  18.75
1980-1989     70-74     0.02467  0.11657  2.64   82389    9604  389326  1231430  14.95
1980-1989     75-79     0.04385  0.19883  2.66   72785   14472  330041   842104  11.57
1980-1989     80-84     0.06738  0.28987  2.59   58313   16904  250864   512063   8.78
1980-1989     85-89     0.11633  0.44975  2.48   41410   18624  160102   261199   6.31
1980-1989     90-94     0.19228  0.63305  2.30   22786   14424   75019   101097   4.44
1980-1989     95-99     0.29929  0.79572  2.06    8361    6653   22230    26078   3.12
1980-1989    100-104    0.43286  0.90300  1.77    1708    1542    3563     3848   2.25
1980-1989    105-109    0.57757  0.95688  1.51     166     159     274      285   1.72
1980-1989    110+       0.69268  1.00000  1.44       7       7      10       10   1.44
1990-1999        0      0.00533  0.00530  0.14  100000     530   99543  8161454  81.61
1990-1999      1-4      0.00049  0.00197  1.75   99470     196  397438  8061911  81.05
1990-1999      5-9      0.00026  0.00131  2.46   99273     130  496036  7664473  77.21
1990-1999     10-14     0.00014  0.00071  1.99   99143      71  495503  7168437  72.30
1990-1999     15-19     0.00047  0.00233  3.09   99072     231  494921  6672934  67.35
1990-1999     20-24     0.00061  0.00303  2.70   98841     299  493517  6178013  62.50
1990-1999     25-29     0.00064  0.00320  2.64   98542     315  491966  5684496  57.69
1990-1999     30-34     0.00060  0.00301  2.36   98227     295  490354  5192530  52.86
1990-1999     35-39     0.00084  0.00420  2.48   97931     411  488619  4702176  48.02
1990-1999     40-44     0.00087  0.00436  2.76   97520     425  486650  4213557  43.21
1990-1999     45-49     0.00168  0.00834  2.63   97095     810  483551  3726907  38.38
1990-1999     50-54     0.00208  0.01033  2.75   96285     995  479183  3243356  33.69
1990-1999     55-59     0.00382  0.01894  2.59   95290    1805  472098  2764174  29.01
1990-1999     60-64     0.00663  0.03269  2.81   93485    3056  460746  2292075  24.52
1990-1999     65-69     0.01163  0.05666  2.73   90429    5124  440507  1831329  20.25
1990-1999     70-74     0.01847  0.08854  2.67   85305    7553  408949  1390823  16.30
1990-1999     75-79     0.03080  0.14360  2.65   77753   11165  362482   981873  12.63
1990-1999     80-84     0.05541  0.24585  2.71   66587   16371  295459   619391   9.30
1990-1999     85-89     0.10796  0.42527  2.51   50217   21356  197813   323932   6.45
1990-1999     90-94     0.19243  0.63603  2.34   28861   18356   95391   126118   4.37
1990-1999     95-99     0.32070  0.82168  2.03   10505    8631   26915    30728   2.93
1990-1999    100-104    0.48210  0.92845  1.69    1873    1739    3607     3813   2.04
1990-1999    105-109    0.64912  0.97197  1.40     134     130     201      206   1.53
1990-1999    110+       0.77256  1.00000  1.29       4       4       5        5   1.29
2000-2009        0      0.00408  0.00406  0.14  100000     406   99651  8357237  83.57
2000-2009      1-4      0.00040  0.00158  1.68   99594     158  398010  8257586  82.91
2000-2009      5-9      0.00019  0.00096  3.03   99436      95  496994  7859575  79.04
2000-2009     10-14     0.00024  0.00121  2.53   99341     120  496409  7362582  74.11
2000-2009     15-19     0.00034  0.00171  2.34   99221     169  495655  6866173  69.20
2000-2009     20-24     0.00043  0.00213  2.81   99052     211  494798  6370517  64.31
2000-2009     25-29     0.00050  0.00249  2.37   98841     247  493556  5875720  59.45
2000-2009     30-34     0.00066  0.00331  2.40   98594     327  492122  5382164  54.59
2000-2009     35-39     0.00072  0.00360  2.52   98267     354  490461  4890042  49.76
2000-2009     40-44     0.00090  0.00448  2.83   97914     439  488615  4399581  44.93
2000-2009     45-49     0.00117  0.00584  2.86   97475     570  486154  3910966  40.12
