ACT, Life tables (period 5x5), Females	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01292  0.01277  0.12  100000    1277   98879  7632725  76.33
1971-1974      1-4      0.00075  0.00299  1.26   98723     295  394083  7533846  76.31
1971-1974      5-9      0.00060  0.00301  2.31   98428     297  491341  7139763  72.54
1971-1974     10-14     0.00044  0.00220  1.87   98131     216  489980  6648422  67.75
1971-1974     15-19     0.00086  0.00430  2.53   97915     421  488535  6158443  62.90
1971-1974     20-24     0.00079  0.00395  2.03   97494     385  486327  5669908  58.16
1971-1974     25-29     0.00079  0.00395  2.69   97109     383  484659  5183581  53.38
1971-1974     30-34     0.00104  0.00518  2.11   96725     501  482179  4698922  48.58
1971-1974     35-39     0.00136  0.00681  3.17   96224     655  479924  4216743  43.82
1971-1974     40-44     0.00254  0.01262  2.62   95569    1206  474978  3736819  39.10
1971-1974     45-49     0.00275  0.01367  2.28   94363    1290  468305  3261840  34.57
1971-1974     50-54     0.00379  0.01875  2.44   93073    1745  460900  2793536  30.01
1971-1974     55-59     0.00604  0.02978  2.79   91328    2720  450615  2332635  25.54
1971-1974     60-64     0.01170  0.05686  2.51   88608    5038  430488  1882021  21.24
1971-1974     65-69     0.01531  0.07384  2.59   83570    6171  402964  1451533  17.37
1971-1974     70-74     0.03789  0.17519  2.85   77399   13559  357850  1048569  13.55
1971-1974     75-79     0.06203  0.27073  2.65   63840   17283  278640   690719  10.82
1971-1974     80-84     0.07415  0.31324  2.52   46556   14583  196660   412079   8.85
1971-1974     85-89     0.11251  0.43666  2.44   31973   13961  124089   215419   6.74
1971-1974     90-94     0.16667  0.57580  2.32   18012   10371   62225    91330   5.07
1971-1974     95-99     0.23922  0.71173  2.16    7641    5438   22733    29105   3.81
1971-1974    100-104    0.33014  0.82382  1.96    2203    1814    5496     6372   2.89
1971-1974    105-109    0.43551  0.90122  1.75     388     350     803      876   2.26
1971-1974    110+       0.52447  1.00000  1.91      38      38      73       73   1.91
1975-1979        0      0.01140  0.01129  0.13  100000    1129   99013  7831141  78.31
1975-1979      1-4      0.00081  0.00321  1.61   98871     318  394725  7732128  78.20
1975-1979      5-9      0.00020  0.00100  2.94   98553      98  492564  7337403  74.45
1975-1979     10-14     0.00047  0.00237  2.68   98455     233  491735  6844838  69.52
1975-1979     15-19     0.00069  0.00344  2.60   98222     338  490300  6353103  64.68
1975-1979     20-24     0.00087  0.00433  2.30   97884     424  488276  5862803  59.90
1975-1979     25-29     0.00073  0.00364  2.67   97461     355  486476  5374527  55.15
1975-1979     30-34     0.00091  0.00456  2.79   97106     443  484551  4888052  50.34
1975-1979     35-39     0.00142  0.00706  2.80   96663     682  481810  4403501  45.56
1975-1979     40-44     0.00155  0.00775  2.83   95980     743  478286  3921691  40.86
1975-1979     45-49     0.00188  0.00936  2.70   95237     892  474137  3443405  36.16
1975-1979     50-54     0.00326  0.01619  2.57   94345    1527  468018  2969268  31.47
1975-1979     55-59     0.00527  0.02604  2.58   92818    2417  458231  2501250  26.95
1975-1979     60-64     0.01070  0.05224  2.72   90402    4723  441223  2043018  22.60
1975-1979     65-69     0.01473  0.07144  2.90   85679    6120  415563  1601795  18.70
1975-1979     70-74     0.02941  0.13759  2.66   79558   10947  372220  1186233  14.91
1975-1979     75-79     0.04158  0.18763  2.40   68611   12873  309593   814013  11.86
1975-1979     80-84     0.06401  0.27742  2.60   55738   15463  241556   504419   9.05
1975-1979     85-89     0.11053  0.43267  2.49   40275   17426  157663   262864   6.53
1975-1979     90-94     0.18310  0.61434  2.32   22850   14037   76667   105201   4.60
1975-1979     95-99     0.28630  0.78041  2.09    8812    6877   24020    28534   3.24
1975-1979    100-104    0.41679  0.89379  1.81    1935    1730    4150     4513   2.33
1975-1979    105-109    0.56051  0.95251  1.53     206     196     349      364   1.77
1975-1979    110+       0.67630  1.00000  1.48      10      10      14       14   1.48
1980-1984        0      0.00873  0.00866  0.13  100000     866   99247  7890145  78.90
1980-1984      1-4      0.00073  0.00292  1.49   99134     289  395810  7790897  78.59
1980-1984      5-9      0.00047  0.00234  2.56   98845     231  493660  7395088  74.82
1980-1984     10-14     0.00027  0.00133  2.49   98614     132  492738  6901427  69.98
1980-1984     15-19     0.00082  0.00410  2.64   98482     404  491459  6408689  65.07
1980-1984     20-24     0.00081  0.00405  2.29   98078     397  489315  5917230  60.33
1980-1984     25-29     0.00061  0.00306  2.94   97681     299  487788  5427915  55.57
1980-1984     30-34     0.00077  0.00386  2.16   97382     376  485841  4940127  50.73
1980-1984     35-39     0.00097  0.00484  2.33   97006     469  483776  4454286  45.92
1980-1984     40-44     0.00140  0.00699  2.66   96536     675  481103  3970510  41.13
1980-1984     45-49     0.00217  0.01079  2.57   95862    1034  476795  3489407  36.40
1980-1984     50-54     0.00232  0.01152  2.75   94828    1093  471678  3012613  31.77
1980-1984     55-59     0.00465  0.02301  2.57   93735    2157  463423  2540935  27.11
1980-1984     60-64     0.00788  0.03873  2.79   91578    3547  450039  2077511  22.69
1980-1984     65-69     0.01569  0.07580  2.77   88030    6673  425265  1627472  18.49
1980-1984     70-74     0.02563  0.12071  2.60   81358    9821  383241  1202207  14.78
1980-1984     75-79     0.04379  0.19802  2.59   71537   14166  323475   818966  11.45
1980-1984     80-84     0.07256  0.30819  2.56   57371   17681  243665   495491   8.64
1980-1984     85-89     0.11831  0.45458  2.45   39690   18042  152499   251825   6.34
1980-1984     90-94     0.18625  0.61947  2.30   21648   13410   72001    99326   4.59
1980-1984     95-99     0.27963  0.77051  2.09    8238    6347   22699    27325   3.32
1980-1984    100-104    0.39610  0.87931  1.84    1890    1662    4197     4626   2.45
1980-1984    105-109    0.52580  0.94141  1.59     228     215     409      430   1.88
1980-1984    110+       0.63236  1.00000  1.58      13      13      21       21   1.58
1985-1989        0      0.00662  0.00658  0.14  100000     658   99431  7982851  79.83
1985-1989      1-4      0.00045  0.00179  2.07   99342     178  397024  7883420  79.36
1985-1989      5-9      0.00040  0.00202  2.94   99164     200  495408  7486396  75.50
1985-1989     10-14     0.00026  0.00129  2.81   98964     128  494539  6990988  70.64
1985-1989     15-19     0.00079  0.00393  2.60   98836     388  493247  6496449  65.73
1985-1989     20-24     0.00054  0.00270  1.81   98448     265  491393  6003202  60.98
1985-1989     25-29     0.00058  0.00291  2.29   98182     286  490136  5511809  56.14
1985-1989     30-34     0.00055  0.00275  2.19   97896     269  488726  5021673  51.30
1985-1989     35-39     0.00098  0.00490  2.28   97628     478  486839  4532946  46.43
1985-1989     40-44     0.00130  0.00647  2.39   97150     628  484110  4046107  41.65
1985-1989     45-49     0.00174  0.00864  2.65   96521     834  480642  3561997  36.90
1985-1989     50-54     0.00302  0.01499  2.74   95687    1434  475194  3081355  32.20
1985-1989     55-59     0.00466  0.02307  2.92   94253    2174  466747  2606161  27.65
1985-1989     60-64     0.00693  0.03409  2.66   92078    3139  453053  2139414  23.23
1985-1989     65-69     0.01323  0.06421  2.73   88940    5711  431711  1686361  18.96
1985-1989     70-74     0.02393  0.11335  2.68   83229    9434  394216  1254650  15.07
1985-1989     75-79     0.04387  0.19930  2.71   73794   14707  335283   860434  11.66
1985-1989     80-84     0.06370  0.27652  2.62   59087   16339  256515   525150   8.89
1985-1989     85-89     0.11483  0.44606  2.50   42748   19068  166050   268636   6.28
1985-1989     90-94     0.19684  0.64312  2.31   23680   15229   77370   102586   4.33
1985-1989     95-99     0.31439  0.81343  2.03    8451    6874   21865    25216   2.98
1985-1989    100-104    0.46075  0.91798  1.72    1577    1447    3141     3350   2.12
1985-1989    105-109    0.61534  0.96555  1.45     129     125     203      209   1.62
1985-1989    110+       0.73426  1.00000  1.36       4       4       6        6   1.36
1990-1994        0      0.00452  0.00450  0.14  100000     450   99613  8110966  81.11
1990-1994      1-4      0.00048  0.00190  2.22   99550     189  397863  8011353  80.48
1990-1994      5-9      0.00036  0.00181  2.34   99361     180  496325  7613491  76.62
1990-1994     10-14     0.00018  0.00089  1.89   99181      88  495629  7117165  71.76
1990-1994     15-19     0.00058  0.00287  3.39   99092     285  495003  6621536  66.82
1990-1994     20-24     0.00070  0.00348  2.82   98808     344  493288  6126533  62.00
1990-1994     25-29     0.00073  0.00365  2.28   98464     359  491341  5633245  57.21
1990-1994     30-34     0.00058  0.00288  2.50   98105     282  489818  5141904  52.41
1990-1994     35-39     0.00090  0.00452  2.80   97822     442  488141  4652086  47.56
1990-1994     40-44     0.00091  0.00454  2.60   97381     442  485843  4163945  42.76
1990-1994     45-49     0.00156  0.00775  2.56   96939     751  482858  3678102  37.94
1990-1994     50-54     0.00225  0.01120  2.51   96187    1077  478259  3195244  33.22
1990-1994     55-59     0.00425  0.02104  2.36   95110    2001  470277  2716985  28.57
1990-1994     60-64     0.00757  0.03726  2.93   93109    3469  458378  2246708  24.13
1990-1994     65-69     0.01194  0.05817  2.79   89641    5214  436670  1788330  19.95
1990-1994     70-74     0.01880  0.09011  2.70   84426    7607  404625  1351660  16.01
1990-1994     75-79     0.03644  0.16865  2.80   76819   12955  355540   947035  12.33
1990-1994     80-84     0.05560  0.24605  2.66   63863   15714  282625   591495   9.26
1990-1994     85-89     0.10786  0.42626  2.54   48150   20524  190295   308870   6.41
1990-1994     90-94     0.19685  0.64501  2.33   27625   17819   90518   118574   4.29
1990-1994     95-99     0.32903  0.83018  2.02    9807    8141   24744    28056   2.86
1990-1994    100-104    0.49419  0.93338  1.67    1665    1554    3145     3312   1.99
1990-1994    105-109    0.66263  0.97409  1.38     111     108     163      167   1.50
1990-1994    110+       0.78508  1.00000  1.27       3       3       4        4   1.27
1995-1999        0      0.00618  0.00614  0.14  100000     614   99469  8208420  82.08
1995-1999      1-4      0.00052  0.00206  1.31   99386     205  396992  8108951  81.59
1995-1999      5-9      0.00016  0.00081  2.71   99181      81  495719  7711959  77.76
1995-1999     10-14     0.00011  0.00054  2.17   99100      53  495348  7216240  72.82
1995-1999     15-19     0.00035  0.00173  2.58   99046     171  494819  6720892  67.86
1995-1999     20-24     0.00052  0.00258  2.56   98876     255  493755  6226073  62.97
1995-1999     25-29     0.00056  0.00279  3.09   98621     275  492578  5732317  58.12
1995-1999     30-34     0.00063  0.00314  2.24   98345     309  490874  5239740  53.28
1995-1999     35-39     0.00078  0.00389  2.11   98037     382  489081  4748866  48.44
1995-1999     40-44     0.00084  0.00418  2.94   97655     408  487433  4259785  43.62
1995-1999     45-49     0.00177  0.00880  2.67   97247     856  484236  3772352  38.79
1995-1999     50-54     0.00196  0.00976  2.94   96391     941  480014  3288116  34.11
1995-1999     55-59     0.00349  0.01731  2.80   95450    1652  473620  2808102  29.42
1995-1999     60-64     0.00578  0.02853  2.67   93798    2676  462762  2334482  24.89
1995-1999     65-69     0.01133  0.05520  2.67   91122    5030  443883  1871720  20.54
1995-1999     70-74     0.01822  0.08736  2.66   86093    7521  412847  1427837  16.58
1995-1999     75-79     0.02644  0.12397  2.49   78572    9741  368387  1014990  12.92
1995-1999     80-84     0.05480  0.24285  2.66   68831   16716  305046   646603   9.39
1995-1999     85-89     0.10485  0.41685  2.54   52115   21724  207196   341557   6.55
1995-1999     90-94     0.18955  0.63011  2.34   30391   19149  101026   134362   4.42
1995-1999     95-99     0.31563  0.81636  2.04   11241    9177   29075    33336   2.97
1995-1999    100-104    0.47502  0.92542  1.70    2064    1910    4022     4261   2.06
1995-1999    105-109    0.64133  0.97069  1.41     154     149     233      239   1.55
1995-1999    110+       0.76538  1.00000  1.31       5       5       6        6   1.31
2000-2004        0      0.00403  0.00401  0.14  100000     401   99655  8314783  83.15
2000-2004      1-4      0.00049  0.00196  1.34   99599     195  397876  8215128  82.48
2000-2004      5-9      0.00026  0.00131  2.90   99403     131  496743  7817252  78.64
