ACT, Life tables (period 1x1), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1971           0      0.02651  0.02590  0.11  100000    2590   97707  6994372  69.94
  1971           1      0.00205  0.00205  0.50   97410     200   97310  6896665  70.80
  1971           2      0.00000  0.00000  0.50   97210       0   97210  6799355  69.95
  1971           3      0.00112  0.00112  0.50   97210     109   97155  6702145  68.95
  1971           4      0.00116  0.00116  0.50   97101     112   97044  6604990  68.02
  1971           5      0.00000  0.00000  0.50   96988       0   96988  6507946  67.10
  1971           6      0.00180  0.00180  0.50   96988     174   96901  6410958  66.10
  1971           7      0.00000  0.00000  0.50   96814       0   96814  6314057  65.22
  1971           8      0.00000  0.00000  0.50   96814       0   96814  6217243  64.22
  1971           9      0.00000  0.00000  0.50   96814       0   96814  6120429  63.22
  1971          10      0.00000  0.00000  0.50   96814       0   96814  6023615  62.22
  1971          11      0.00120  0.00120  0.50   96814     116   96756  5926801  61.22
  1971          12      0.00129  0.00129  0.50   96697     124   96635  5830046  60.29
  1971          13      0.00000  0.00000  0.50   96573       0   96573  5733411  59.37
  1971          14      0.00000  0.00000  0.50   96573       0   96573  5636838  58.37
  1971          15      0.00000  0.00000  0.50   96573       0   96573  5540265  57.37
  1971          16      0.00311  0.00311  0.50   96573     300   96423  5443692  56.37
  1971          17      0.00000  0.00000  0.50   96273       0   96273  5347269  55.54
  1971          18      0.00548  0.00546  0.50   96273     526   96010  5250996  54.54
  1971          19      0.00251  0.00251  0.50   95747     240   95627  5154986  53.84
  1971          20      0.00062  0.00062  0.50   95507      59   95477  5059359  52.97
  1971          21      0.00241  0.00241  0.50   95447     230   95332  4963882  52.01
  1971          22      0.00000  0.00000  0.50   95217       0   95217  4868549  51.13
  1971          23      0.00278  0.00278  0.50   95217     264   95085  4773332  50.13
  1971          24      0.00111  0.00111  0.50   94953     105   94900  4678246  49.27
  1971          25      0.00279  0.00278  0.50   94848     264   94716  4583346  48.32
  1971          26      0.00123  0.00123  0.50   94584     117   94525  4488630  47.46
  1971          27      0.00000  0.00000  0.50   94467       0   94467  4394105  46.51
  1971          28      0.00135  0.00135  0.50   94467     127   94404  4299638  45.51
  1971          29      0.00000  0.00000  0.50   94340       0   94340  4205234  44.58
  1971          30      0.00290  0.00289  0.50   94340     273   94204  4110894  43.58
  1971          31      0.00000  0.00000  0.50   94067       0   94067  4016691  42.70
  1971          32      0.00155  0.00154  0.50   94067     145   93994  3922624  41.70
  1971          33      0.00083  0.00083  0.50   93922      78   93883  3828629  40.76
  1971          34      0.00345  0.00345  0.50   93844     323   93683  3734746  39.80
  1971          35      0.00272  0.00271  0.50   93521     254   93394  3641064  38.93
  1971          36      0.00093  0.00093  0.50   93267      86   93224  3547669  38.04
  1971          37      0.00389  0.00388  0.50   93181     361   93000  3454445  37.07
  1971          38      0.00100  0.00100  0.50   92819      93   92773  3361445  36.21
  1971          39      0.00000  0.00000  0.50   92726       0   92726  3268672  35.25
  1971          40      0.00197  0.00197  0.50   92726     183   92635  3175946  34.25
  1971          41      0.00000  0.00000  0.50   92544       0   92544  3083311  33.32
  1971          42      0.00406  0.00405  0.50   92544     375   92356  2990767  32.32
  1971          43      0.00411  0.00410  0.50   92169     378   91980  2898411  31.45
  1971          44      0.00206  0.00206  0.50   91791     189   91696  2806431  30.57
  1971          45      0.00744  0.00741  0.50   91602     679   91262  2714735  29.64
  1971          46      0.00312  0.00312  0.50   90923     283   90781  2623472  28.85
  1971          47      0.00423  0.00422  0.50   90640     382   90449  2532691  27.94
  1971          48      0.00653  0.00651  0.50   90258     587   89964  2442242  27.06
  1971          49      0.00653  0.00651  0.50   89670     584   89378  2352279  26.23
  1971          50      0.00727  0.00724  0.50   89086     645   88764  2262900  25.40
  1971          51      0.00664  0.00662  0.50   88441     585   88149  2174136  24.58
  1971          52      0.00797  0.00793  0.50   87856     697   87508  2085987  23.74
  1971          53      0.00000  0.00000  0.50   87159       0   87159  1998480  22.93
  1971          54      0.00381  0.00380  0.50   87159     331   86994  1911320  21.93
  1971          55      0.01803  0.01787  0.50   86828    1551   86052  1824327  21.01
  1971          56      0.02077  0.02056  0.50   85277    1753   84400  1738274  20.38
  1971          57      0.01516  0.01504  0.50   83523    1256   82895  1653874  19.80
  1971          58      0.01666  0.01653  0.50   82267    1359   81587  1570979  19.10
  1971          59      0.01563  0.01551  0.50   80908    1255   80280  1489392  18.41
  1971          60      0.02068  0.02047  0.50   79652    1630   78837  1409112  17.69
  1971          61      0.00628  0.00626  0.50   78022     488   77778  1330274  17.05
  1971          62      0.00360  0.00360  0.50   77534     279   77394  1252496  16.15
  1971          63      0.01197  0.01190  0.50   77255     919   76795  1175102  15.21
  1971          64      0.01293  0.01285  0.50   76335     981   75845  1098307  14.39
  1971          65      0.03458  0.03400  0.50   75354    2562   74074  1022462  13.57
  1971          66      0.04309  0.04218  0.50   72793    3070   71258   948389  13.03
  1971          67      0.01261  0.01253  0.50   69722     874   69286   877131  12.58
  1971          68      0.02830  0.02790  0.50   68849    1921   67888   807845  11.73
  1971          69      0.03561  0.03499  0.50   66928    2342   65757   739957  11.06
  1971          70      0.06953  0.06720  0.50   64586    4340   62416   674200  10.44
  1971          71      0.10789  0.10237  0.50   60246    6167   57162   611784  10.15
  1971          72      0.08993  0.08606  0.50   54079    4654   51752   554622  10.26
  1971          73      0.08664  0.08305  0.50   49425    4105   47373   502870  10.17
  1971          74      0.11190  0.10597  0.50   45320    4802   42919   455497  10.05
  1971          75      0.11775  0.11120  0.50   40518    4506   38265   412578  10.18
  1971          76      0.11924  0.11253  0.50   36012    4053   33986   374313  10.39
  1971          77      0.04402  0.04307  0.50   31960    1376   31271   340327  10.65
  1971          78      0.12660  0.11906  0.50   30583    3641   28763   309056  10.11
  1971          79      0.13141  0.12330  0.50   26942    3322   25281   280293  10.40
  1971          80      0.09178  0.08775  0.50   23620    2073   22584   255012  10.80
  1971          81      0.09187  0.08783  0.50   21547    1893   20601   232429  10.79
  1971          82      0.09195  0.08791  0.50   19655    1728   18791   211828  10.78
  1971          83      0.09204  0.08799  0.50   17927    1577   17138   193037  10.77
  1971          84      0.09213  0.08807  0.50   16349    1440   15629   175899  10.76
  1971          85      0.09222  0.08815  0.50   14910    1314   14252   160269  10.75
  1971          86      0.09230  0.08823  0.50   13595    1200   12995   146017  10.74
  1971          87      0.09239  0.08831  0.50   12396    1095   11848   133022  10.73
  1971          88      0.09248  0.08839  0.50   11301     999   10802   121173  10.72
  1971          89      0.09257  0.08847  0.50   10302     911    9846   110372  10.71
  1971          90      0.09265  0.08855  0.50    9391     832    8975   100525  10.70
  1971          91      0.09274  0.08863  0.50    8559     759    8180    91550  10.70
  1971          92      0.09283  0.08871  0.50    7800     692    7454    83371  10.69
  1971          93      0.09292  0.08879  0.50    7108     631    6793    75916  10.68
  1971          94      0.09301  0.08887  0.50    6477     576    6189    69123  10.67
  1971          95      0.09310  0.08895  0.50    5902     525    5639    62934  10.66
  1971          96      0.09318  0.08904  0.50    5377     479    5137    57295  10.66
  1971          97      0.09327  0.08912  0.50    4898     436    4680    52157  10.65
  1971          98      0.09336  0.08920  0.50    4461     398    4262    47477  10.64
  1971          99      0.09345  0.08928  0.50    4064     363    3882    43215  10.63
  1971         100      0.09354  0.08936  0.50    3701     331    3535    39333  10.63
  1971         101      0.09363  0.08944  0.50    3370     301    3219    35797  10.62
  1971         102      0.09372  0.08952  0.50    3069     275    2931    32578  10.62
  1971         103      0.09380  0.08960  0.50    2794     250    2669    29647  10.61
