ACT, Life tables (period 5x10), Total	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01453  0.01435  0.12  100000    1435   98736  7437301  74.37
1971-1979      1-4      0.00080  0.00318  1.60   98565     313  393509  7338565  74.45
1971-1979      5-9      0.00042  0.00208  2.45   98252     204  490736  6945056  70.69
1971-1979     10-14     0.00060  0.00299  2.66   98047     293  489552  6454319  65.83
1971-1979     15-19     0.00117  0.00582  2.80   97754     569  487517  5964767  61.02
1971-1979     20-24     0.00124  0.00618  2.31   97185     601  484306  5477250  56.36
1971-1979     25-29     0.00089  0.00443  2.54   96584     428  481869  4992944  51.70
1971-1979     30-34     0.00111  0.00554  2.50   96156     533  479445  4511076  46.91
1971-1979     35-39     0.00155  0.00772  2.71   95623     738  476426  4031631  42.16
1971-1979     40-44     0.00223  0.01108  2.71   94885    1052  472017  3555205  37.47
1971-1979     45-49     0.00332  0.01649  2.67   93833    1548  465562  3083188  32.86
1971-1979     50-54     0.00519  0.02564  2.67   92286    2366  455922  2617626  28.36
1971-1979     55-59     0.00904  0.04425  2.63   89919    3979  440173  2161704  24.04
1971-1979     60-64     0.01625  0.07835  2.71   85940    6733  414312  1721532  20.03
1971-1979     65-69     0.02312  0.10955  2.60   79206    8677  375230  1307220  16.50
1971-1979     70-74     0.04057  0.18542  2.68   70530   13078  322354   931989  13.21
1971-1979     75-79     0.06223  0.26900  2.48   57452   15454  248351   609636  10.61
1971-1979     80-84     0.07369  0.31214  2.55   41998   13109  177898   361285   8.60
1971-1979     85-89     0.11898  0.45629  2.45   28888   13182  110788   183387   6.35
1971-1979     90-94     0.18507  0.61667  2.30   15707    9686   52338    72599   4.62
1971-1979     95-99     0.27519  0.76448  2.09    6021    4603   16725    20261   3.37
1971-1979    100-104    0.38813  0.87362  1.85    1418    1239    3192     3536   2.49
1971-1979    105-109    0.51580  0.93799  1.61     179     168     326      344   1.92
1971-1979    110+       0.62222  1.00000  1.61      11      11      18       18   1.61
1980-1989        0      0.00867  0.00860  0.13  100000     860   99253  7683085  76.83
1980-1989      1-4      0.00067  0.00269  1.65   99140     267  395932  7583832  76.50
1980-1989      5-9      0.00043  0.00217  2.59   98873     214  493848  7187900  72.70
1980-1989     10-14     0.00036  0.00178  2.59   98659     176  492869  6694052  67.85
1980-1989     15-19     0.00094  0.00470  2.74   98483     462  491368  6201183  62.97
1980-1989     20-24     0.00105  0.00522  2.16   98020     512  488648  5709815  58.25
1980-1989     25-29     0.00093  0.00466  2.53   97509     455  486420  5221167  53.55
1980-1989     30-34     0.00080  0.00398  2.62   97054     386  484349  4734747  48.78
1980-1989     35-39     0.00113  0.00562  2.55   96668     543  482007  4250398  43.97
1980-1989     40-44     0.00142  0.00707  2.62   96124     679  479006  3768391  39.20
1980-1989     45-49     0.00227  0.01127  2.52   95445    1076  474554  3289385  34.46
1980-1989     50-54     0.00404  0.02000  2.75   94369    1887  467602  2814831  29.83
1980-1989     55-59     0.00670  0.03299  2.75   92482    3051  455553  2347229  25.38
1980-1989     60-64     0.01157  0.05634  2.65   89430    5038  435290  1891675  21.15
1980-1989     65-69     0.02004  0.09572  2.66   84392    8078  403090  1456385  17.26
1980-1989     70-74     0.03241  0.15058  2.65   76314   11492  354533  1053295  13.80
1980-1989     75-79     0.05463  0.24167  2.62   64823   15666  286763   698762  10.78
1980-1989     80-84     0.07580  0.31965  2.55   49157   15713  207299   411999   8.38
1980-1989     85-89     0.12390  0.47049  2.44   33444   15735  126998   204700   6.12
1980-1989     90-94     0.19646  0.64023  2.28   17709   11338   57710    77702   4.39
1980-1989     95-99     0.29775  0.79308  2.05    6371    5053   16970    19991   3.14
1980-1989    100-104    0.42498  0.89813  1.79    1318    1184    2786     3022   2.29
1980-1989    105-109    0.56532  0.95363  1.53     134     128     227      236   1.76
1980-1989    110+       0.67910  1.00000  1.47       6       6       9        9   1.47
1990-1999        0      0.00583  0.00580  0.14  100000     580   99500  7944494  79.44
1990-1999      1-4      0.00055  0.00221  1.66   99420     219  397167  7844994  78.91
1990-1999      5-9      0.00034  0.00170  2.20   99201     169  495530  7447827  75.08
1990-1999     10-14     0.00028  0.00138  2.39   99032     136  494804  6952297  70.20
1990-1999     15-19     0.00061  0.00305  2.98   98895     301  493868  6457493  65.30
1990-1999     20-24     0.00072  0.00359  2.55   98594     354  492101  5963625  60.49
1990-1999     25-29     0.00088  0.00439  2.55   98240     431  490146  5471523  55.70
1990-1999     30-34     0.00083  0.00414  2.47   97809     405  488023  4981377  50.93
1990-1999     35-39     0.00107  0.00531  2.57   97404     518  485764  4493354  46.13
1990-1999     40-44     0.00114  0.00568  2.79   96887     550  483218  4007590  41.36
1990-1999     45-49     0.00188  0.00938  2.64   96336     903  479546  3524372  36.58
1990-1999     50-54     0.00262  0.01303  2.75   95433    1243  474372  3044826  31.91
1990-1999     55-59     0.00508  0.02509  2.61   94190    2363  465306  2570454  27.29
1990-1999     60-64     0.00876  0.04294  2.76   91827    3943  450288  2105148  22.93
1990-1999     65-69     0.01520  0.07345  2.72   87884    6455  424674  1654860  18.83
1990-1999     70-74     0.02422  0.11466  2.69   81429    9337  385566  1230186  15.11
1990-1999     75-79     0.03907  0.17862  2.60   72092   12877  329619   844620  11.72
1990-1999     80-84     0.06707  0.28930  2.63   59215   17131  255437   515001   8.70
1990-1999     85-89     0.11863  0.45584  2.46   42084   19184  161706   259564   6.17
1990-1999     90-94     0.20004  0.64953  2.30   22900   14875   74358    97858   4.27
1990-1999     95-99     0.32125  0.82087  2.02    8026    6588   20508    23500   2.93
1990-1999    100-104    0.47131  0.92277  1.70    1438    1327    2815     2992   2.08
1990-1999    105-109    0.62414  0.96691  1.43     111     107     172      177   1.59
1990-1999    110+       0.73517  1.00000  1.36       4       4       5        5   1.36
2000-2009        0      0.00467  0.00465  0.14  100000     465   99600  8182644  81.83
2000-2009      1-4      0.00044  0.00174  1.72   99535     173  397746  8083044  81.21
2000-2009      5-9      0.00018  0.00092  2.43   99362      91  496575  7685298  77.35
2000-2009     10-14     0.00022  0.00109  2.65   99271     108  496099  7188722  72.42
2000-2009     15-19     0.00045  0.00224  2.85   99162     222  495334  6692623  67.49
2000-2009     20-24     0.00060  0.00298  2.70   98940     295  494022  6197290  62.64
2000-2009     25-29     0.00069  0.00344  2.56   98645     339  492399  5703268  57.82
2000-2009     30-34     0.00083  0.00413  2.53   98306     406  490526  5210869  53.01
2000-2009     35-39     0.00082  0.00409  2.62   97900     400  488547  4720342  48.22
2000-2009     40-44     0.00123  0.00611  2.65   97500     596  486099  4231795  43.40
2000-2009     45-49     0.00139  0.00695  2.73   96904     674  482992  3745696  38.65
2000-2009     50-54     0.00222  0.01105  2.76   96230    1064  478773  3262705  33.91
2000-2009     55-59     0.00348  0.01726  2.67   95166    1642  472004  2783932  29.25
2000-2009     60-64     0.00607  0.02990  2.59   93524    2796  460894  2311928  24.72
2000-2009     65-69     0.01018  0.04973  2.70   90728    4512  443278  1851034  20.40
2000-2009     70-74     0.01729  0.08319  2.74   86215    7173  414876  1407756  16.33
2000-2009     75-79     0.03162  0.14708  2.64   79043   11626  367722   992880  12.56
2000-2009     80-84     0.05819  0.25575  2.64   67417   17242  296316   625158   9.27
