SA, Exposure to risk (period 5x5), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             40908.22        43135.86        84044.08
1971-1974      1-4            173173.42       181651.53       354824.95
1971-1974      5-9            218836.74       230218.57       449055.31
1971-1974     10-14           237221.45       246962.11       484183.56
1971-1974     15-19           221941.64       227398.74       449340.39
1971-1974     20-24           203835.80       205530.29       409366.09
1971-1974     25-29           185468.88       189753.67       375222.56
1971-1974     30-34           148390.08       152734.97       301125.05
1971-1974     35-39           135631.92       138918.13       274550.04
1971-1974     40-44           137557.60       145788.44       283346.05
1971-1974     45-49           147341.02       154817.54       302158.56
1971-1974     50-54           137502.05       138572.56       276074.61
1971-1974     55-59           118368.90       116974.62       235343.52
1971-1974     60-64           106840.74        98877.70       205718.44
1971-1974     65-69            83138.59        72521.98       155660.56
1971-1974     70-74            65286.75        48781.88       114068.63
1971-1974     75-79            50227.24        29152.16        79379.40
1971-1974     80-84            33317.90        17774.51        51092.42
1971-1974     85-89            15430.24         7087.90        22518.14
1971-1974     90-94             4578.76         1668.22         6246.97
1971-1974     95-99              774.56          222.40          996.96
1971-1974    100-104              62.62            4.25           66.87
1971-1974    105-109               0.18            0.00            0.18
1971-1974    110+                  0.00            0.00            0.00
1975-1979        0             45706.68        48209.75        93916.43
1975-1979      1-4            195357.39       205544.41       400901.81
1975-1979      5-9            274781.11       288712.27       563493.39
1975-1979     10-14           279345.65       296475.87       575821.51
1975-1979     15-19           296837.66       303885.89       600723.55
1975-1979     20-24           272033.29       277457.57       549490.86
1975-1979     25-29           262520.86       266076.79       528597.64
1975-1979     30-34           232041.38       236477.80       468519.18
1975-1979     35-39           186098.78       190421.65       376520.42
1975-1979     40-44           167719.30       171866.52       339585.82
1975-1979     45-49           171547.56       181372.50       352920.06
1975-1979     50-54           181341.22       187172.51       368513.73
1975-1979     55-59           165809.98       162781.81       328591.79
1975-1979     60-64           144436.74       134631.93       279068.67
1975-1979     65-69           124779.82       107046.72       231826.55
1975-1979     70-74            92085.12        72198.41       164283.53
1975-1979     75-79            67272.99        42395.68       109668.67
1975-1979     80-84            44941.98        21410.53        66352.51
1975-1979     85-89            22819.80         9540.95        32360.75
1975-1979     90-94             7400.90         2646.18        10047.08
1975-1979     95-99             1418.23          382.03         1800.25
1975-1979    100-104              97.12           21.66          118.78
1975-1979    105-109               0.16            0.00            0.16
1975-1979    110+                  0.00            0.00            0.00
1980-1984        0             47220.71        49453.45        96674.16
1980-1984      1-4            184298.35       193245.50       377543.85
1980-1984      5-9            243634.94       257974.59       501609.52
1980-1984     10-14           277416.20       292350.03       569766.23
1980-1984     15-19           281867.99       293046.55       574914.54
1980-1984     20-24           289272.46       295161.07       584433.53
1980-1984     25-29           271867.31       276619.30       548486.61
1980-1984     30-34           264805.56       266835.94       531641.50
1980-1984     35-39           232228.74       234531.93       466760.67
1980-1984     40-44           185129.13       187782.89       372912.02
1980-1984     45-49           164699.57       167765.82       332465.39
1980-1984     50-54           169091.80       175514.48       344606.28
1980-1984     55-59           177391.67       178292.59       355684.26
1980-1984     60-64           162330.07       149704.25       312034.32
1980-1984     65-69           138198.62       121374.01       259572.63
1980-1984     70-74           114243.25        89446.77       203690.02
1980-1984     75-79            78466.04        53199.28       131665.32
1980-1984     80-84            49394.25        25352.55        74746.80
1980-1984     85-89            26899.04        10266.67        37165.71
1980-1984     90-94             9814.43         3141.93        12956.36
1980-1984     95-99             1983.42          573.12         2556.54
1980-1984    100-104             178.25           29.72          207.97
