SA, Death rates (period 1x10), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             0.011592        0.015140        0.013413
1971-1979        1             0.000867        0.001381        0.001131
1971-1979        2             0.000428        0.000856        0.000647
1971-1979        3             0.000396        0.000704        0.000554
1971-1979        4             0.000389        0.000450        0.000420
1971-1979        5             0.000280        0.000365        0.000323
1971-1979        6             0.000276        0.000204        0.000239
1971-1979        7             0.000263        0.000308        0.000286
1971-1979        8             0.000251        0.000324        0.000288
1971-1979        9             0.000219        0.000378        0.000301
1971-1979       10             0.000128        0.000160        0.000144
1971-1979       11             0.000176        0.000371        0.000276
1971-1979       12             0.000232        0.000285        0.000259
1971-1979       13             0.000306        0.000227        0.000266
1971-1979       14             0.000199        0.000399        0.000301
1971-1979       15             0.000416        0.000664        0.000542
1971-1979       16             0.000456        0.001327        0.000898
1971-1979       17             0.000499        0.001653        0.001082
1971-1979       18             0.000633        0.002101        0.001373
1971-1979       19             0.000525        0.002019        0.001276
1971-1979       20             0.000639        0.001724        0.001185
1971-1979       21             0.000519        0.001660        0.001093
1971-1979       22             0.000359        0.001644        0.001007
1971-1979       23             0.000374        0.001239        0.000810
1971-1979       24             0.000453        0.001146        0.000802
1971-1979       25             0.000300        0.001442        0.000874
1971-1979       26             0.000534        0.001450        0.000995
1971-1979       27             0.000545        0.001060        0.000805
1971-1979       28             0.000467        0.001194        0.000834
1971-1979       29             0.000481        0.001191        0.000841
1971-1979       30             0.000377        0.001088        0.000737
1971-1979       31             0.000642        0.001290        0.000970
1971-1979       32             0.000602        0.001332        0.000971
1971-1979       33             0.000715        0.000996        0.000857
1971-1979       34             0.000978        0.001339        0.001160
1971-1979       35             0.000668        0.001526        0.001102
1971-1979       36             0.000686        0.001774        0.001237
1971-1979       37             0.001002        0.001862        0.001438
1971-1979       38             0.001099        0.001787        0.001447
1971-1979       39             0.000998        0.002169        0.001590
1971-1979       40             0.001369        0.002141        0.001760
1971-1979       41             0.001421        0.002495        0.001965
1971-1979       42             0.001679        0.002736        0.002218
1971-1979       43             0.001711        0.002805        0.002272
1971-1979       44             0.002093        0.003356        0.002742
1971-1979       45             0.001647        0.003387        0.002542
1971-1979       46             0.002350        0.004729        0.003574
1971-1979       47             0.002423        0.004936        0.003713
1971-1979       48             0.003350        0.006144        0.004782
1971-1979       49             0.003418        0.006573        0.005032
1971-1979       50             0.003514        0.006856        0.005218
1971-1979       51             0.003914        0.006870        0.005414
1971-1979       52             0.004571        0.008513        0.006563
1971-1979       53             0.004866        0.008485        0.006686
1971-1979       54             0.004957        0.009787        0.007376
1971-1979       55             0.005428        0.010188        0.007808
1971-1979       56             0.005984        0.012459        0.009211
1971-1979       57             0.005717        0.013490        0.009573
1971-1979       58             0.006471        0.015508        0.010938
1971-1979       59             0.008000        0.017124        0.012480
1971-1979       60             0.008014        0.019578        0.013657
1971-1979       61             0.009509        0.019481        0.014331
1971-1979       62             0.010401        0.022633        0.016294
