SA, Life tables (period 5x10), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01159  0.01148  0.13  100000    1148   98996  7734361  77.34
1971-1979      1-4      0.00052  0.00208  1.65   98852     205  394927  7635364  77.24
1971-1979      5-9      0.00026  0.00129  2.39   98647     127  492904  7240438  73.40
1971-1979     10-14     0.00021  0.00104  2.76   98520     103  492371  6747534  68.49
1971-1979     15-19     0.00051  0.00253  2.66   98418     249  491505  6255163  63.56
1971-1979     20-24     0.00047  0.00234  2.28   98169     230  490219  5763659  58.71
1971-1979     25-29     0.00047  0.00232  2.63   97939     228  489155  5273440  53.84
1971-1979     30-34     0.00066  0.00331  2.88   97711     323  487873  4784285  48.96
1971-1979     35-39     0.00089  0.00444  2.74   97388     433  485962  4296413  44.12
1971-1979     40-44     0.00165  0.00824  2.71   96955     799  482945  3810450  39.30
1971-1979     45-49     0.00264  0.01310  2.84   96157    1260  478061  3327505  34.61
1971-1979     50-54     0.00436  0.02159  2.67   94897    2048  469706  2849444  30.03
1971-1979     55-59     0.00631  0.03111  2.67   92848    2888  457499  2379738  25.63
1971-1979     60-64     0.01030  0.05031  2.70   89960    4526  439379  1922239  21.37
1971-1979     65-69     0.01641  0.07907  2.71   85434    6756  411695  1482859  17.36
1971-1979     70-74     0.02938  0.13736  2.64   78679   10807  367906  1071165  13.61
1971-1979     75-79     0.05104  0.22748  2.61   67871   15439  302503   703259  10.36
1971-1979     80-84     0.08509  0.35241  2.56   52432   18477  217146   400757   7.64
1971-1979     85-89     0.14939  0.53698  2.38   33955   18233  122053   183610   5.41
1971-1979     90-94     0.22516  0.69125  2.21   15722   10868   48267    61557   3.92
1971-1979     95-99     0.34845  0.84421  1.95    4854    4098   11760    13290   2.74
1971-1979    100-104    0.48608  0.92781  1.67     756     702    1443     1530   2.02
1971-1979    105-109    0.62691  0.96716  1.43      55      53      84       87   1.59
1971-1979    110+       0.73461  1.00000  1.36       2       2       2        2   1.36
1980-1989        0      0.00729  0.00724  0.13  100000     724   99373  7968818  79.69
1980-1989      1-4      0.00041  0.00165  1.51   99276     164  396695  7869445  79.27
1980-1989      5-9      0.00021  0.00107  2.49   99112     106  495292  7472750  75.40
1980-1989     10-14     0.00019  0.00093  2.43   99006      93  494791  6977458  70.48
1980-1989     15-19     0.00044  0.00221  2.69   98913     219  494059  6482667  65.54
1980-1989     20-24     0.00046  0.00231  2.45   98694     228  492891  5988608  60.68
1980-1989     25-29     0.00042  0.00211  2.67   98467     208  491848  5495717  55.81
1980-1989     30-34     0.00049  0.00247  2.68   98259     242  490732  5003869  50.93
1980-1989     35-39     0.00077  0.00385  2.80   98016     377  489251  4513137  46.04
1980-1989     40-44     0.00117  0.00582  2.70   97639     568  486889  4023886  41.21
1980-1989     45-49     0.00208  0.01035  2.68   97071    1004  483029  3536997  36.44
1980-1989     50-54     0.00338  0.01677  2.58   96067    1611  476435  3053968  31.79
1980-1989     55-59     0.00520  0.02568  2.69   94456    2426  466670  2577532  27.29
1980-1989     60-64     0.00827  0.04058  2.70   92030    3734  451572  2110862  22.94
1980-1989     65-69     0.01378  0.06676  2.67   88296    5895  427742  1659290  18.79
1980-1989     70-74     0.02358  0.11172  2.66   82401    9206  390430  1231548  14.95
1980-1989     75-79     0.04013  0.18340  2.65   73195   13424  334483   841118  11.49
1980-1989     80-84     0.07159  0.30527  2.59   59771   18246  254865   506636   8.48
1980-1989     85-89     0.12467  0.47340  2.46   41525   19658  157683   251771   6.06
1980-1989     90-94     0.19934  0.64693  2.29   21867   14146   70965    94088   4.30
1980-1989     95-99     0.31391  0.81165  2.03    7721    6266   19963    23123   2.99
1980-1989    100-104    0.45012  0.91198  1.74    1454    1326    2946     3160   2.17
1980-1989    105-109    0.59505  0.96091  1.48     128     123     207      214   1.67
1980-1989    110+       0.70875  1.00000  1.41       5       5       7        7   1.41
1990-1999        0      0.00450  0.00448  0.14  100000     448   99615  8131173  81.31
1990-1999      1-4      0.00025  0.00099  1.71   99552      98  397983  8031559  80.68
1990-1999      5-9      0.00019  0.00094  2.49   99453      94  497033  7633576  76.76
1990-1999     10-14     0.00021  0.00102  2.84   99360     102  496579  7136543  71.83
1990-1999     15-19     0.00040  0.00198  2.79   99258     196  495858  6639964  66.90
1990-1999     20-24     0.00039  0.00195  2.36   99062     193  494801  6144106  62.02
1990-1999     25-29     0.00049  0.00242  2.36   98869     240  493712  5649305  57.14
1990-1999     30-34     0.00059  0.00292  2.54   98630     288  492439  5155593  52.27
1990-1999     35-39     0.00078  0.00387  2.50   98341     381  490756  4663153  47.42
1990-1999     40-44     0.00107  0.00534  2.64   97960     523  488570  4172398  42.59
1990-1999     45-49     0.00161  0.00804  2.66   97438     784  485352  3683828  37.81
1990-1999     50-54     0.00272  0.01349  2.70   96654    1304  480265  3198476  33.09
1990-1999     55-59     0.00431  0.02135  2.65   95350    2036  471974  2718211  28.51
1990-1999     60-64     0.00705  0.03470  2.67   93314    3238  459033  2246236  24.07
1990-1999     65-69     0.01192  0.05796  2.66   90076    5221  438140  1787203  19.84
1990-1999     70-74     0.01934  0.09255  2.69   84855    7854  406119  1349063  15.90
1990-1999     75-79     0.03402  0.15759  2.67   77001   12135  356704   942944  12.25
1990-1999     80-84     0.06294  0.27350  2.61   64867   17741  281859   586239   9.04
1990-1999     85-89     0.11157  0.43652  2.51   47126   20571  184375   304380   6.46
1990-1999     90-94     0.18609  0.62203  2.34   26554   16518   88760   120005   4.52
1990-1999     95-99     0.29937  0.79657  2.06   10037    7995   26705    31245   3.11
1990-1999    100-104    0.43884  0.90678  1.76    2042    1851    4219     4540   2.22
1990-1999    105-109    0.58947  0.95996  1.49     190     183     310      321   1.69
1990-1999    110+       0.70811  1.00000  1.41       8       8      11       11   1.41
2000-2009        0      0.00380  0.00379  0.14  100000     379   99674  8322157  83.22
2000-2009      1-4      0.00024  0.00097  1.41   99621      97  398233  8222482  82.54
2000-2009      5-9      0.00014  0.00069  2.48   99524      69  497445  7824250  78.62
2000-2009     10-14     0.00014  0.00071  2.36   99455      70  497088  7326805  73.67
2000-2009     15-19     0.00022  0.00110  2.55   99384     110  496654  6829717  68.72
2000-2009     20-24     0.00033  0.00164  2.52   99275     163  495971  6333063  63.79
2000-2009     25-29     0.00038  0.00192  2.59   99112     190  495102  5837091  58.89
2000-2009     30-34     0.00043  0.00217  2.64   98922     215  494104  5341989  54.00
