NT, Exposure to risk (period 1x10), 	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1979        0             11498.27        12484.07        23982.34
1971-1979        1             11265.37        12348.19        23613.55
1971-1979        2             11239.28        12364.91        23604.19
1971-1979        3             11195.01        12275.38        23470.38
1971-1979        4             11141.99        12149.69        23291.67
1971-1979        5             10979.71        12000.51        22980.22
1971-1979        6             10728.48        11718.65        22447.13
1971-1979        7             10357.02        11319.66        21676.68
1971-1979        8              9951.59        10766.61        20718.20
1971-1979        9              9506.50        10167.08        19673.58
1971-1979       10              9009.75         9592.74        18602.49
1971-1979       11              8591.45         9125.19        17716.64
1971-1979       12              8119.63         8615.56        16735.19
1971-1979       13              7668.91         8106.56        15775.46
1971-1979       14              7244.96         7660.22        14905.19
1971-1979       15              6948.71         7371.51        14320.22
1971-1979       16              6827.51         7194.45        14021.96
1971-1979       17              6819.26         7207.08        14026.34
1971-1979       18              7037.87         7528.16        14566.03
1971-1979       19              7470.25         8123.17        15593.42
1971-1979       20              7991.64         8926.49        16918.13
1971-1979       21              8666.92         9820.62        18487.55
1971-1979       22              9369.41        10721.24        20090.65
1971-1979       23              9949.40        11391.76        21341.16
1971-1979       24             10350.09        11912.44        22262.53
1971-1979       25             10460.49        12289.32        22749.82
1971-1979       26             10344.09        12406.31        22750.41
1971-1979       27             10076.00        12325.55        22401.54
1971-1979       28              9765.34        12055.84        21821.17
1971-1979       29              9236.33        11671.71        20908.04
1971-1979       30              8669.78        11196.56        19866.33
1971-1979       31              8133.96        10760.78        18894.74
1971-1979       32              7501.35        10248.06        17749.41
1971-1979       33              6866.71         9634.74        16501.45
1971-1979       34              6329.20         9026.06        15355.26
1971-1979       35              5894.39         8448.44        14342.83
1971-1979       36              5564.13         8013.40        13577.53
1971-1979       37              5242.90         7574.98        12817.88
1971-1979       38              4904.63         7115.87        12020.50
1971-1979       39              4562.28         6645.08        11207.37
1971-1979       40              4208.53         6124.78        10333.31
1971-1979       41              4052.49         5813.90         9866.39
1971-1979       42              3869.28         5492.36         9361.64
1971-1979       43              3677.54         5272.07         8949.61
1971-1979       44              3496.43         5007.15         8503.58
1971-1979       45              3355.51         4816.61         8172.11
1971-1979       46              3243.04         4721.78         7964.83
1971-1979       47              3133.10         4691.54         7824.64
1971-1979       48              2964.68         4533.36         7498.04
1971-1979       49              2806.01         4333.51         7139.51
1971-1979       50              2637.46         4121.00         6758.46
1971-1979       51              2546.47         3947.53         6494.00
1971-1979       52              2464.94         3797.41         6262.35
1971-1979       53              2274.69         3491.52         5766.21
1971-1979       54              2083.64         3152.23         5235.87
1971-1979       55              1926.23         2825.24         4751.47
1971-1979       56              1837.46         2607.03         4444.50
1971-1979       57              1770.43         2478.75         4249.17
1971-1979       58              1665.07         2306.45         3971.51
1971-1979       59              1537.23         2085.25         3622.47
1971-1979       60              1403.82         1873.96         3277.78
1971-1979       61              1317.39         1725.94         3043.33
1971-1979       62              1245.11         1601.93         2847.04
1971-1979       63              1128.16         1446.66         2574.82
1971-1979       64               983.82         1295.53         2279.35
1971-1979       65               858.94         1135.22         1994.16
1971-1979       66               818.08         1051.41         1869.49
1971-1979       67               772.56          989.56         1762.11
1971-1979       68               693.06          901.11         1594.18
1971-1979       69               606.90          789.57         1396.47
1971-1979       70               523.01          680.18         1203.19
1971-1979       71               468.83          607.04         1075.86
1971-1979       72               458.72          577.09         1035.81
1971-1979       73               407.97          497.34          905.31
