NT, Life tables (period 5x5), Females	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.04180  0.04047  0.21  100000    4047   96799  6590779  65.91
1971-1974      1-4      0.00354  0.01404  1.31   95953    1347  380196  6493980  67.68
1971-1974      5-9      0.00069  0.00346  1.93   94606     327  472027  6113784  64.62
1971-1974     10-14     0.00031  0.00153  2.77   94279     144  471074  5641757  59.84
1971-1974     15-19     0.00169  0.00844  2.80   94135     794  468925  5170682  54.93
1971-1974     20-24     0.00174  0.00866  3.07   93340     809  465144  4701757  50.37
1971-1974     25-29     0.00156  0.00777  2.16   92532     719  460620  4236613  45.79
1971-1974     30-34     0.00202  0.01007  2.81   91813     925  457036  3775992  41.13
1971-1974     35-39     0.00505  0.02502  3.03   90888    2274  449952  3318956  36.52
1971-1974     40-44     0.00593  0.02920  2.47   88614    2588  436511  2869004  32.38
1971-1974     45-49     0.00818  0.04006  2.51   86026    3446  421555  2432493  28.28
1971-1974     50-54     0.01264  0.06145  2.73   82580    5075  401391  2010938  24.35
1971-1974     55-59     0.01339  0.06476  2.45   77505    5019  374746  1609547  20.77
1971-1974     60-64     0.02509  0.11836  2.61   72486    8580  341903  1234801  17.04
1971-1974     65-69     0.04254  0.19249  2.53   63906   12301  289143   892898  13.97
1971-1974     70-74     0.05546  0.24188  2.36   51605   12482  225082   603755  11.70
1971-1974     75-79     0.08260  0.34272  2.52   39123   13408  162323   378674   9.68
1971-1974     80-84     0.08519  0.35042  2.47   25714    9011  105772   216351   8.41
1971-1974     85-89     0.12000  0.45703  2.39   16704    7634   63619   110579   6.62
1971-1974     90-94     0.16617  0.57303  2.29    9070    5197   31275    46960   5.18
1971-1974     95-99     0.22521  0.68717  2.16    3872    2661   11816    15685   4.05
1971-1974    100-104    0.29735  0.78716  2.01    1211     954    3207     3870   3.19
1971-1974    105-109    0.38097  0.86457  1.84     258     223     585      663   2.57
1971-1974    110+       0.45087  1.00000  2.22      35      35      77       77   2.22
1975-1979        0      0.02648  0.02589  0.15  100000    2589   97798  6697427  66.97
1975-1979      1-4      0.00283  0.01125  1.23   97411    1096  386607  6599630  67.75
1975-1979      5-9      0.00098  0.00491  1.99   96315     473  480153  6213022  64.51
1975-1979     10-14     0.00097  0.00486  2.85   95843     466  478212  5732869  59.82
1975-1979     15-19     0.00171  0.00850  2.92   95377     811  475199  5254658  55.09
1975-1979     20-24     0.00161  0.00803  2.31   94566     760  470786  4779459  50.54
1975-1979     25-29     0.00145  0.00720  2.32   93806     676  467224  4308674  45.93
1975-1979     30-34     0.00242  0.01205  2.76   93131    1122  463142  3841450  41.25
1975-1979     35-39     0.00336  0.01665  2.67   92009    1532  456480  3378308  36.72
1975-1979     40-44     0.00547  0.02698  2.45   90477    2441  446157  2921827  32.29
1975-1979     45-49     0.00755  0.03720  3.06   88036    3275  433827  2475671  28.12
1975-1979     50-54     0.01097  0.05326  2.25   84761    4514  411407  2041844  24.09
1975-1979     55-59     0.01664  0.07984  2.46   80246    6407  384973  1630437  20.32
1975-1979     60-64     0.01901  0.09054  2.37   73839    6686  351633  1245464  16.87
1975-1979     65-69     0.03140  0.14518  2.41   67154    9749  310472   893831  13.31
1975-1979     70-74     0.05778  0.25425  2.64   57405   14595  252601   583359  10.16
