VIC, Death rates (period 5x5), 	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1971-1974        0             0.013363        0.016241        0.014836
1971-1974      1-4             0.000625        0.000820        0.000724
1971-1974      5-9             0.000313        0.000448        0.000382
1971-1974     10-14            0.000238        0.000387        0.000314
1971-1974     15-19            0.000503        0.001328        0.000924
1971-1974     20-24            0.000541        0.001632        0.001089
1971-1974     25-29            0.000549        0.001134        0.000845
1971-1974     30-34            0.000709        0.001271        0.000999
1971-1974     35-39            0.001035        0.001913        0.001485
1971-1974     40-44            0.001903        0.003157        0.002551
1971-1974     45-49            0.003284        0.005856        0.004599
1971-1974     50-54            0.004952        0.009263        0.007114
1971-1974     55-59            0.007917        0.015673        0.011731
1971-1974     60-64            0.011915        0.024426        0.017929
1971-1974     65-69            0.019512        0.039358        0.028755
1971-1974     70-74            0.033702        0.060481        0.045117
1971-1974     75-79            0.058621        0.099329        0.073679
1971-1974     80-84            0.098767        0.144117        0.113920
1971-1974     85-89            0.162365        0.214126        0.177913
1971-1974     90-94            0.247362        0.302330        0.260866
1971-1974     95-99            0.359656        0.411805        0.372315
1971-1974    100-104           0.513953        0.687937        0.554228
1971-1974    105-109           1.977778              .        1.977778
1971-1974    110+                    .              .              .
1975-1979        0             0.010017        0.012745        0.011417
1975-1979      1-4             0.000453        0.000658        0.000558
1975-1979      5-9             0.000236        0.000333        0.000285
1975-1979     10-14            0.000191        0.000351        0.000273
1975-1979     15-19            0.000487        0.001262        0.000883
1975-1979     20-24            0.000472        0.001618        0.001050
1975-1979     25-29            0.000468        0.001156        0.000812
1975-1979     30-34            0.000661        0.001153        0.000911
1975-1979     35-39            0.000924        0.001669        0.001305
1975-1979     40-44            0.001587        0.002886        0.002251
1975-1979     45-49            0.002764        0.005017        0.003922
1975-1979     50-54            0.004452        0.008636        0.006574
1975-1979     55-59            0.006807        0.013842        0.010277
1975-1979     60-64            0.011004        0.022676        0.016577
1975-1979     65-69            0.017147        0.035288        0.025531
1975-1979     70-74            0.028188        0.055224        0.039985
1975-1979     75-79            0.049750        0.084701        0.063188
1975-1979     80-84            0.086915        0.134057        0.102042
1975-1979     85-89            0.145616        0.199453        0.160875
1975-1979     90-94            0.218184        0.270407        0.230999
1975-1979     95-99            0.340366        0.409485        0.354543
1975-1979    100-104           0.508185        0.676466        0.536135
1975-1979    105-109           1.644599              .        1.644599
1975-1979    110+                    .              .              .
1980-1984        0             0.008718        0.010321        0.009536
1980-1984      1-4             0.000360        0.000593        0.000479
1980-1984      5-9             0.000186        0.000297        0.000243
1980-1984     10-14            0.000157        0.000319        0.000240
1980-1984     15-19            0.000358        0.000985        0.000678
1980-1984     20-24            0.000479        0.001405        0.000947
1980-1984     25-29            0.000489        0.001171        0.000831
1980-1984     30-34            0.000538        0.001180        0.000859
1980-1984     35-39            0.000818        0.001335        0.001080
1980-1984     40-44            0.001232        0.002312        0.001783
1980-1984     45-49            0.002266        0.004047        0.003174
1980-1984     50-54            0.004089        0.007431        0.005795
1980-1984     55-59            0.006162        0.012306        0.009235
1980-1984     60-64            0.009409        0.019112        0.014045
1980-1984     65-69            0.015383        0.031622        0.022859
1980-1984     70-74            0.025698        0.048673        0.035710
1980-1984     75-79            0.043437        0.078406        0.057417
1980-1984     80-84            0.076830        0.122646        0.092157
1980-1984     85-89            0.130326        0.182752        0.144353
1980-1984     90-94            0.211541        0.270070        0.225085
1980-1984     95-99            0.304611        0.361638        0.315458
1980-1984    100-104           0.445542        0.630280        0.470239
1980-1984    105-109           0.917968              .        0.917968
1980-1984    110+                    .              .              .
1985-1989        0             0.006893        0.009370        0.008161
1985-1989      1-4             0.000363        0.000424        0.000394
1985-1989      5-9             0.000160        0.000238        0.000200
1985-1989     10-14            0.000144        0.000270        0.000209
1985-1989     15-19            0.000394        0.000972        0.000689
1985-1989     20-24            0.000508        0.001480        0.000999
1985-1989     25-29            0.000460        0.001329        0.000896
1985-1989     30-34            0.000568        0.001304        0.000935
1985-1989     35-39            0.000752        0.001321        0.001036
1985-1989     40-44            0.001176        0.001927        0.001557
1985-1989     45-49            0.001962        0.003306        0.002649
1985-1989     50-54            0.003212        0.005672        0.004463
1985-1989     55-59            0.005480        0.010168        0.007858
1985-1989     60-64            0.008710        0.017253        0.012888
1985-1989     65-69            0.014086        0.027216        0.020193
1985-1989     70-74            0.024148        0.045276        0.033406
1985-1989     75-79            0.041435        0.070957        0.053431
1985-1989     80-84            0.073744        0.115572        0.088582
1985-1989     85-89            0.127566        0.178062        0.141869
1985-1989     90-94            0.211244        0.271475        0.224153
1985-1989     95-99            0.312524        0.361074        0.321467
1985-1989    100-104           0.417589        0.464883        0.425181
1985-1989    105-109           0.671527        1.208451        0.694277
1985-1989    110+                    .              .              .
1990-1994        0             0.005276        0.007043        0.006182
1990-1994      1-4             0.000299        0.000402        0.000352
1990-1994      5-9             0.000118        0.000162        0.000141
1990-1994     10-14            0.000157        0.000220        0.000189
1990-1994     15-19            0.000293        0.000774        0.000540
1990-1994     20-24            0.000412        0.001149        0.000784
1990-1994     25-29            0.000406        0.001151        0.000777
1990-1994     30-34            0.000496        0.001157        0.000826
1990-1994     35-39            0.000727        0.001351        0.001038
1990-1994     40-44            0.001083        0.001883        0.001482
1990-1994     45-49            0.001649        0.002853        0.002257
1990-1994     50-54            0.002764        0.004629        0.003713
1990-1994     55-59            0.004608        0.008280        0.006455
1990-1994     60-64            0.007520        0.014758        0.011113
1990-1994     65-69            0.012702        0.024018        0.018086
1990-1994     70-74            0.020957        0.038633        0.028832
1990-1994     75-79            0.038039        0.064448        0.048895
1990-1994     80-84            0.066436        0.103401        0.079922
1990-1994     85-89            0.115478        0.165078        0.130627
1990-1994     90-94            0.192820        0.246918        0.205380
1990-1994     95-99            0.293853        0.367140        0.306417
1990-1994    100-104           0.428551        0.549741        0.444141
1990-1994    105-109           0.682575        1.676923        0.719435
1990-1994    110+                    .              .              .
1995-1999        0             0.004689        0.005373        0.005041
1995-1999      1-4             0.000244        0.000310        0.000278
1995-1999      5-9             0.000119        0.000164        0.000142
1995-1999     10-14            0.000143        0.000175        0.000159
1995-1999     15-19            0.000296        0.000722        0.000514
1995-1999     20-24            0.000381        0.001182        0.000786
1995-1999     25-29            0.000398        0.001219        0.000805
1995-1999     30-34            0.000550        0.001281        0.000911
1995-1999     35-39            0.000674        0.001290        0.000980
1995-1999     40-44            0.001056        0.001759        0.001404
1995-1999     45-49            0.001516        0.002414        0.001961
1995-1999     50-54            0.002493        0.003947        0.003223
1995-1999     55-59            0.003924        0.006784        0.005365
1995-1999     60-64            0.006384        0.011937        0.009129
1995-1999     65-69            0.010771        0.020648        0.015568
1995-1999     70-74            0.018422        0.034192        0.025645
1995-1999     75-79            0.032178        0.054584        0.041624
1995-1999     80-84            0.061889        0.095922        0.074519
1995-1999     85-89            0.110022        0.154262        0.124076
1995-1999     90-94            0.192220        0.246139        0.205741
1995-1999     95-99            0.306213        0.354998        0.315336
1995-1999    100-104           0.460609        0.541713        0.470990
1995-1999    105-109           0.749279        1.588717        0.769866
1995-1999    110+                    .              .              .
2000-2004        0             0.004125        0.005420        0.004788
2000-2004      1-4             0.000176        0.000231        0.000204
2000-2004      5-9             0.000092        0.000136        0.000115
2000-2004     10-14            0.000107        0.000130        0.000119
2000-2004     15-19            0.000265        0.000562        0.000416
2000-2004     20-24            0.000292        0.000821        0.000560
2000-2004     25-29            0.000367        0.000999        0.000682
2000-2004     30-34            0.000474        0.001044        0.000754
2000-2004     35-39            0.000654        0.001225        0.000936
2000-2004     40-44            0.000927        0.001552        0.001236
2000-2004     45-49            0.001505        0.002295        0.001895
2000-2004     50-54            0.002235        0.003423        0.002822
2000-2004     55-59            0.003412        0.005522        0.004466
2000-2004     60-64            0.005356        0.009270        0.007308
2000-2004     65-69            0.008967        0.015905        0.012341
2000-2004     70-74            0.015741        0.028174        0.021621
2000-2004     75-79            0.028432        0.047181        0.036665
2000-2004     80-84            0.052775        0.080680        0.063555
2000-2004     85-89            0.102017        0.142776        0.115447
2000-2004     90-94            0.179974        0.239503        0.195896
2000-2004     95-99            0.299292        0.350314        0.309576
2000-2004    100-104           0.459695        0.550310        0.472539
2000-2004    105-109           0.736234        1.978233        0.773968
2000-2004    110+                    .              .              .
2005-2009        0             0.003842        0.004489        0.004174
2005-2009      1-4             0.000158        0.000171        0.000165
2005-2009      5-9             0.000072        0.000096        0.000085
2005-2009     10-14            0.000089        0.000114        0.000102
2005-2009     15-19            0.000219        0.000411        0.000318
2005-2009     20-24            0.000262        0.000660        0.000467
2005-2009     25-29            0.000292        0.000780        0.000539
2005-2009     30-34            0.000398        0.000879        0.000637
2005-2009     35-39            0.000610        0.001094        0.000848
2005-2009     40-44            0.000879        0.001464        0.001168
2005-2009     45-49            0.001342        0.002163        0.001747
2005-2009     50-54            0.002138        0.003253        0.002689
2005-2009     55-59            0.003053        0.005005        0.004014
2005-2009     60-64            0.004811        0.007991        0.006384
2005-2009     65-69            0.007560        0.013380        0.010419
2005-2009     70-74            0.013462        0.022282        0.017674
2005-2009     75-79            0.024790        0.040786        0.032083
2005-2009     80-84            0.047761        0.071014        0.057287
2005-2009     85-89            0.092090        0.125933        0.103932
2005-2009     90-94            0.178634        0.216903        0.189556
2005-2009     95-99            0.295569        0.343640        0.306062
2005-2009    100-104           0.450663        0.489145        0.456935
2005-2009    105-109           0.681611        0.980887        0.704557
2005-2009    110+                    .              .              .
2010-2014        0             0.002788        0.003227        0.003014
2010-2014      1-4             0.000118        0.000151        0.000135
2010-2014      5-9             0.000067        0.000118        0.000093
2010-2014     10-14            0.000077        0.000089        0.000083
2010-2014     15-19            0.000192        0.000347        0.000271
2010-2014     20-24            0.000203        0.000524        0.000367
2010-2014     25-29            0.000244        0.000638        0.000442
2010-2014     30-34            0.000369        0.000744        0.000556
2010-2014     35-39            0.000552        0.000960        0.000755
2010-2014     40-44            0.000780        0.001337        0.001053
2010-2014     45-49            0.001265        0.001982        0.001617
2010-2014     50-54            0.001933        0.002966        0.002441
2010-2014     55-59            0.002818        0.004635        0.003708
2010-2014     60-64            0.004422        0.007235        0.005797
2010-2014     65-69            0.006647        0.011353        0.008955
2010-2014     70-74            0.011813        0.019244        0.015417
2010-2014     75-79            0.021540        0.033606        0.027132
2010-2014     80-84            0.043622        0.063897        0.052373
2010-2014     85-89            0.087368        0.112693        0.096979
2010-2014     90-94            0.167402        0.199876        0.177567
2010-2014     95-99            0.293383        0.342732        0.305392
2010-2014    100-104           0.469127        0.536525        0.480713
2010-2014    105-109           0.763456        1.131714        0.795225
2010-2014    110+                    .              .              .
2015-2016        0             0.002322        0.002559        0.002444
2015-2016      1-4             0.000142        0.000141        0.000142
2015-2016      5-9             0.000062        0.000053        0.000057
2015-2016     10-14            0.000088        0.000092        0.000090
2015-2016     15-19            0.000169        0.000359        0.000266
2015-2016     20-24            0.000172        0.000483        0.000331
2015-2016     25-29            0.000207        0.000594        0.000400
2015-2016     30-34            0.000326        0.000745        0.000534
2015-2016     35-39            0.000555        0.001065        0.000810
2015-2016     40-44            0.000884        0.001483        0.001179
2015-2016     45-49            0.001250        0.002087        0.001657
2015-2016     50-54            0.001890        0.003077        0.002472
2015-2016     55-59            0.002906        0.004385        0.003628
2015-2016     60-64            0.004163        0.007140        0.005609
2015-2016     65-69            0.006798        0.010987        0.008839
2015-2016     70-74            0.011420        0.017641        0.014446
2015-2016     75-79            0.021375        0.032396        0.026553
2015-2016     80-84            0.042210        0.060707        0.050368
2015-2016     85-89            0.085830        0.111329        0.096064
2015-2016     90-94            0.165117        0.190815        0.173752
2015-2016     95-99            0.285828        0.329409        0.297576
2015-2016    100-104           0.463977        0.514409        0.473507
2015-2016    105-109           0.675933        1.145484        0.720183
2015-2016    110+                    .              .              .
