VIC, Life tables (period 5x5), Total	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.01484  0.01464  0.12  100000    1464   98710  7231139  72.31
1971-1974      1-4      0.00073  0.00290  1.68   98536     285  393481  7132429  72.38
1971-1974      5-9      0.00038  0.00191  2.29   98250     187  490744  6738948  68.59
1971-1974     10-14     0.00031  0.00157  2.68   98063     154  489956  6248204  63.72
1971-1974     15-19     0.00093  0.00464  3.00   97909     454  488633  5758248  58.81
1971-1974     20-24     0.00109  0.00543  2.38   97454     529  485888  5269614  54.07
1971-1974     25-29     0.00085  0.00423  2.54   96925     410  483618  4783726  49.35
1971-1974     30-34     0.00100  0.00499  2.57   96516     482  481408  4300109  44.55
1971-1974     35-39     0.00149  0.00743  2.74   96034     714  478556  3818701  39.76
1971-1974     40-44     0.00254  0.01261  2.78   95320    1202  473935  3340145  35.04
1971-1974     45-49     0.00460  0.02276  2.72   94119    2142  465710  2866210  30.45
1971-1974     50-54     0.00718  0.03529  2.70   91976    3246  452425  2400500  26.10
1971-1974     55-59     0.01171  0.05703  2.70   88730    5060  432022  1948075  21.96
1971-1974     60-64     0.01802  0.08643  2.66   83670    7232  401397  1516053  18.12
1971-1974     65-69     0.02888  0.13518  2.63   76439   10333  357731  1114656  14.58
1971-1974     70-74     0.04530  0.20440  2.61   66106   13512  298266   756924  11.45
1971-1974     75-79     0.07378  0.31227  2.54   52594   16423  222595   458659   8.72
1971-1974     80-84     0.11436  0.44395  2.48   36170   16058  140412   236064   6.53
1971-1974     85-89     0.17894  0.60310  2.30   20113   12130   67785    95652   4.76
1971-1974     90-94     0.26266  0.75079  2.15    7983    5993   22818    27866   3.49
1971-1974     95-99     0.38033  0.86832  1.87    1989    1727    4542     5048   2.54
1971-1974    100-104    0.51020  0.93623  1.62     262     245     481      507   1.93
1971-1974    105-109    0.64105  0.96934  1.40      17      16      25       26   1.55
1971-1974    110+       0.74119  1.00000  1.35       1       1       1        1   1.35
1975-1979        0      0.01142  0.01130  0.13  100000    1130   99012  7385625  73.86
1975-1979      1-4      0.00056  0.00225  1.72   98870     223  394970  7286613  73.70
