VIC, Life tables (period 5x10), Males	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1979        0      0.01442  0.01424  0.12  100000    1424   98747  6985356  69.85
1971-1979      1-4      0.00074  0.00295  1.70   98576     291  393635  6886609  69.86
1971-1979      5-9      0.00038  0.00191  2.34   98285     188  490924  6492974  66.06
1971-1979     10-14     0.00037  0.00183  2.74   98097     180  490078  6002051  61.18
1971-1979     15-19     0.00130  0.00648  3.10   97917     635  488376  5511973  56.29
1971-1979     20-24     0.00162  0.00808  2.38   97282     786  484352  5023597  51.64
1971-1979     25-29     0.00115  0.00572  2.50   96496     552  481102  4539246  47.04
1971-1979     30-34     0.00120  0.00601  2.58   95945     576  478326  4058144  42.30
1971-1979     35-39     0.00178  0.00887  2.72   95368     846  474913  3579817  37.54
1971-1979     40-44     0.00301  0.01494  2.81   94523    1412  469521  3104905  32.85
1971-1979     45-49     0.00539  0.02661  2.72   93111    2478  459911  2635384  28.30
1971-1979     50-54     0.00895  0.04383  2.70   90633    3973  444023  2175473  24.00
1971-1979     55-59     0.01468  0.07102  2.70   86660    6155  419172  1731449  19.98
1971-1979     60-64     0.02347  0.11121  2.64   80506    8953  381426  1312277  16.30
1971-1979     65-69     0.03717  0.17082  2.63   71552   12222  328831   930851  13.01
1971-1979     70-74     0.05778  0.25371  2.60   59330   15052  260530   602020  10.15
1971-1979     75-79     0.09108  0.37070  2.49   44278   16413  180209   341490   7.71
1971-1979     80-84     0.13871  0.51078  2.42   27864   14232  102608   161281   5.79
1971-1979     85-89     0.20636  0.65753  2.24   13632    8963   43436    58673   4.30
1971-1979     90-94     0.28477  0.77521  2.06    4668    3619   12708    15237   3.26
1971-1979     95-99     0.40356  0.88296  1.82    1049     927    2296     2529   2.41
1971-1979    100-104    0.52183  0.93926  1.59     123     115     221      233   1.89
1971-1979    105-109    0.63843  0.96829  1.40       7       7      11       12   1.56
1971-1979    110+       0.72779  1.00000  1.37       0       0       0        0   1.37
1980-1989        0      0.00984  0.00975  0.13  100000     975   99151  7268822  72.69
1980-1989      1-4      0.00051  0.00203  1.75   99025     201  395649  7169671  72.40
1980-1989      5-9      0.00027  0.00134  2.39   98824     133  493775  6774022  68.55
1980-1989     10-14     0.00029  0.00147  2.70   98692     145  493124  6280247  63.64
1980-1989     15-19     0.00098  0.00487  3.11   98546     480  491823  5787124  58.73
1980-1989     20-24     0.00144  0.00719  2.45   98066     705  488535  5295301  54.00
1980-1989     25-29     0.00125  0.00625  2.48   97361     608  485275  4806766  49.37
1980-1989     30-34     0.00124  0.00620  2.55   96753     600  482294  4321491  44.67
1980-1989     35-39     0.00133  0.00664  2.65   96153     638  479263  3839197  39.93
1980-1989     40-44     0.00212  0.01055  2.73   95515    1007  475290  3359934  35.18
1980-1989     45-49     0.00367  0.01820  2.72   94507    1720  468614  2884643  30.52
1980-1989     50-54     0.00656  0.03230  2.72   92788    2997  457104  2416030  26.04
1980-1989     55-59     0.01124  0.05478  2.70   89790    4918  437647  1958925  21.82
1980-1989     60-64     0.01821  0.08733  2.65   84872    7412  406956  1521279  17.92
1980-1989     65-69     0.02941  0.13747  2.63   77460   10648  362046  1114323  14.39
1980-1989     70-74     0.04703  0.21129  2.60   66811   14117  300174   752277  11.26
1980-1989     75-79     0.07485  0.31607  2.54   52695   16655  222526   452104   8.58
1980-1989     80-84     0.11983  0.45943  2.46   36040   16558  138173   229578   6.37
1980-1989     85-89     0.18140  0.60920  2.31   19482   11868   65426    91405   4.69
1980-1989     90-94     0.27186  0.76229  2.12    7614    5804   21348    25979   3.41
1980-1989     95-99     0.37745  0.86535  1.87    1810    1566    4149     4631   2.56
1980-1989    100-104    0.49892  0.93137  1.64     244     227     455      482   1.98
1980-1989    105-109    0.62125  0.96530  1.43      17      16      26       27   1.60
