WA, Life tables (period 1x5), Males	Last modified: 02 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1971-1974        0      0.02024  0.01988  0.11  100000    1988   98228  6917100  69.17
1971-1974        1      0.00161  0.00161  0.50   98012     158   97933  6818872  69.57
1971-1974        2      0.00109  0.00109  0.50   97854     106   97801  6720939  68.68
1971-1974        3      0.00083  0.00083  0.50   97747      81   97707  6623139  67.76
1971-1974        4      0.00065  0.00065  0.50   97667      63   97635  6525432  66.81
1971-1974        5      0.00050  0.00050  0.50   97603      49   97579  6427797  65.86
1971-1974        6      0.00051  0.00051  0.50   97555      49   97530  6330218  64.89
1971-1974        7      0.00030  0.00030  0.50   97505      29   97491  6232687  63.92
1971-1974        8      0.00034  0.00034  0.50   97476      34   97459  6135197  62.94
1971-1974        9      0.00038  0.00038  0.50   97443      37   97424  6037737  61.96
1971-1974       10      0.00044  0.00044  0.50   97405      43   97384  5940313  60.99
1971-1974       11      0.00042  0.00042  0.50   97362      40   97342  5842930  60.01
1971-1974       12      0.00033  0.00033  0.50   97322      32   97306  5745588  59.04
1971-1974       13      0.00035  0.00035  0.50   97290      34   97272  5648282  58.06
1971-1974       14      0.00041  0.00041  0.50   97255      39   97235  5551010  57.08
1971-1974       15      0.00058  0.00058  0.50   97216      56   97188  5453774  56.10
1971-1974       16      0.00100  0.00100  0.50   97160      97   97111  5356587  55.13
1971-1974       17      0.00173  0.00173  0.50   97063     167   96979  5259476  54.19
1971-1974       18      0.00241  0.00241  0.50   96895     233   96779  5162497  53.28
1971-1974       19      0.00177  0.00177  0.50   96662     171   96576  5065718  52.41
1971-1974       20      0.00199  0.00199  0.50   96491     192   96395  4969142  51.50
1971-1974       21      0.00224  0.00224  0.50   96299     215   96192  4872747  50.60
1971-1974       22      0.00146  0.00146  0.50   96084     140   96014  4776555  49.71
1971-1974       23      0.00170  0.00170  0.50   95944     163   95863  4680541  48.78
1971-1974       24      0.00167  0.00167  0.50   95781     160   95701  4584678  47.87
1971-1974       25      0.00137  0.00137  0.50   95621     131   95555  4488977  46.95
1971-1974       26      0.00123  0.00123  0.50   95490     118   95431  4393421  46.01
1971-1974       27      0.00124  0.00124  0.50   95372     118   95313  4297990  45.07
1971-1974       28      0.00081  0.00081  0.50   95254      77   95216  4202677  44.12
1971-1974       29      0.00186  0.00185  0.50   95177     177   95089  4107461  43.16
1971-1974       30      0.00150  0.00150  0.50   95001     142   94929  4012372  42.24
1971-1974       31      0.00137  0.00137  0.50   94858     130   94794  3917443  41.30
1971-1974       32      0.00163  0.00163  0.50   94729     154   94652  3822650  40.35
1971-1974       33      0.00148  0.00148  0.50   94574     140   94505  3727998  39.42
1971-1974       34      0.00165  0.00165  0.50   94435     156   94357  3633493  38.48
1971-1974       35      0.00187  0.00187  0.50   94279     176   94191  3539137  37.54
1971-1974       36      0.00184  0.00184  0.50   94103     173   94016  3444946  36.61
1971-1974       37      0.00215  0.00215  0.50   93930     202   93829  3350930  35.67
1971-1974       38      0.00207  0.00207  0.50   93728     194   93631  3257101  34.75
1971-1974       39      0.00261  0.00261  0.50   93534     244   93412  3163470  33.82
1971-1974       40      0.00247  0.00247  0.50   93290     230   93175  3070058  32.91
1971-1974       41      0.00240  0.00239  0.50   93060     223   92949  2976883  31.99
1971-1974       42      0.00313  0.00313  0.50   92837     290   92692  2883934  31.06
